level,starter,total_count,example_phrases,share_of_control_tri_quad_total,rate_per_10k_control_tokens
trigrams,and what,40,and what would (5) || and what care (2) || and what you (2) || and what moving (2) || and what options (2),0.000383,3.832
quadgrams,and the,39,and the modular option (3) || and the completeness strength (1) || and the failover architecture (1) || and the optics about (1) || and the most controllable (1),0.000374,3.736
quadgrams,is the,39,is the only path (2) || is the lowest overall (1) || is the one that (1) || is the most defensible (1) || is the key move (1),0.000374,3.736
trigrams,and the,39,and the modular (3) || and the exact (2) || and the bridge (2) || and the model (2) || and the completeness (1),0.000374,3.736
trigrams,is the,39,is the most (2) || is the only (2) || is the key (2) || is the real (2) || is the main (2),0.000374,3.736
quadgrams,and a,38,and a staged rollout (2) || and a staged plan (2) || and a midpoint review (2) || and a small pool (1) || and a draft award (1),0.000364,3.641
trigrams,and a,38,and a staged (5) || and a phased (3) || and a required (2) || and a dated (2) || and a concrete (2),0.000364,3.641
quadgrams,not just,37,not just software delivered (2) || not just prose decision (2) || not just curated moments (2) || not just buying software (1) || not just upfront was (1),0.000354,3.545
quadgrams,standard controllers,37,standard controllers named models (3) || standard controllers they propose (2) || standard controllers is your (2) || standard controllers you can (2) || standard controllers data export (2),0.000354,3.545
quadgrams,the modular,37,the modular architecture option (5) || the modular option uses (2) || the modular option s (2) || the modular option avoids (2) || the modular architecture with (1),0.000354,3.545
trigrams,not just,37,not just the (5) || not just software (2) || not just a (2) || not just prose (2) || not just curated (2),0.000354,3.545
trigrams,standard controllers,37,standard controllers and (7) || standard controllers is (5) || standard controllers named (3) || standard controllers if (2) || standard controllers they (2),0.000354,3.545
trigrams,the modular,37,the modular option (15) || the modular architecture (9) || the modular deployments (4) || the modular cities (2) || the modular exit (2),0.000354,3.545
quadgrams,into a,35,into a one page (5) || into a memo you (1) || into a short must (1) || into a testable requirement (1) || into a schedule and (1),0.000335,3.353
trigrams,into a,35,into a one (5) || into a schedule (2) || into a constrained (2) || into a decision (2) || into a memo (1),0.000335,3.353
quadgrams,it as,34,it as safety relevant (2) || it as promising and (1) || it as conditional novagrid (1) || it as lowest overall (1) || it as dispositive evidence (1),0.000326,3.257
quadgrams,rather than,34,rather than core that (1) || rather than ignored it (1) || rather than a procurement (1) || rather than driving the (1) || rather than risk management (1),0.000326,3.257
quadgrams,with a,34,with a shorter track (2) || with a selected vendor (1) || with a week review (1) || with a pilot corridor (1) || with a contractually defined (1),0.000326,3.257
trigrams,it as,34,it as a (3) || it as an (2) || it as safety (2) || it as autonomous (2) || it as promising (1),0.000326,3.257
trigrams,rather than,34,rather than a (4) || rather than land (2) || rather than permanent (2) || rather than core (1) || rather than ignored (1),0.000326,3.257
trigrams,with a,34,with a shorter (2) || with a beta (2) || with a tranche (2) || with a small (2) || with a selected (1),0.000326,3.257
quadgrams,and you,33,and you can t (3) || and you have a (2) || and you ll need (1) || and you ll score (1) || and you re confident (1),0.000316,3.162
quadgrams,if it,33,if it doesn t (2) || if it can occur (2) || if it s something (2) || if it s addable (1) || if it s contractually (1),0.000316,3.162
quadgrams,s a,33,s a real gating (1) || s a legitimate requirement (1) || s a newer product (1) || s a major advantage (1) || s a critical path (1),0.000316,3.162
quadgrams,you ll,33,you ll want to (1) || you ll deploy fixes (1) || you ll want explicit (1) || you ll still want (1) || you ll need to (1),0.000316,3.162
trigrams,and you,33,and you re (6) || and you can (4) || and you still (4) || and you have (4) || and you ll (3),0.000316,3.162
trigrams,if it,33,if it s (16) || if it doesn (2) || if it can (2) || if it becomes (2) || if it truly (1),0.000316,3.162
trigrams,s a,33,s a real (3) || s a strong (3) || s a showstopper (2) || s a good (2) || s a legitimate (1),0.000316,3.162
trigrams,you ll,33,you ll want (4) || you ll need (3) || you ll be (3) || you ll have (2) || you ll live (2),0.000316,3.162
quadgrams,for the,32,for the hardware fix (6) || for the month trial (2) || for the standard controllers (1) || for the integrated system (1) || for the vendor choice (1),0.000307,3.066
quadgrams,how to,32,how to keep it (2) || how to evaluate whether (1) || how to phrase the (1) || how to explain that (1) || how to start now (1),0.000307,3.066
