word,CONTROL,AC15,AC15P,HYBRID_3_5,HYBRID_SEMANTIC,total
while,3,1,1,3,1,9
reduce,2,0,7,0,0,9
live,1,3,2,3,0,9
approve,0,0,9,0,0,9
name,0,0,8,1,0,9
run,0,1,5,3,0,9
activities,0,0,7,2,0,9
being,0,3,0,0,6,9
equivalent,0,2,0,7,0,9
telemetry,0,2,1,4,1,8
triggered,0,7,0,1,0,8
delivered,4,0,2,2,0,8
relationship,0,0,0,7,1,8
main,8,0,0,0,0,8
gating,2,1,0,1,4,8
traces,1,0,1,0,6,8
demand,1,0,0,1,6,8
strong,2,4,0,1,1,8
power,0,3,0,5,0,8
look,5,2,0,0,1,8
bad,0,7,0,0,1,8
veto,0,3,0,5,0,8
escalation,0,2,2,4,0,8
entry,4,0,0,4,0,8
api,1,0,0,7,0,8
credits,5,0,0,1,2,8
feel,1,0,3,4,0,8
file,1,0,4,1,2,8
requirements,0,1,1,2,4,8
warrants,0,1,3,0,4,8
objective,1,0,1,6,0,8
remain,0,0,8,0,0,8
fly,0,0,7,1,0,8
performance,4,3,0,0,1,8
outcome,0,3,1,2,2,8
propose,3,0,3,0,2,8
friends,0,1,7,0,0,8
business,0,4,4,0,0,8
counts,0,6,0,2,0,8
chain,4,2,2,0,0,8
meeting,1,0,0,7,0,8
place,0,0,4,0,4,8
line,0,0,5,0,3,8
signed,1,5,1,0,1,8
keeping,5,0,1,2,0,8
remote,0,0,3,5,0,8
events,0,5,2,1,0,8
drills,0,0,1,7,0,8
recommendation,4,0,2,1,1,8
loan,0,1,7,0,0,8
liability,0,4,1,1,2,8
fast,2,5,0,0,0,7
all,2,0,1,0,4,7
p,0,3,0,0,4,7
escalators,0,2,0,5,0,7
mttr,0,4,3,0,0,7
network,0,7,0,0,0,7
people,0,3,0,2,2,7
small,1,1,0,0,5,7
forced,0,2,0,5,0,7
version,0,0,0,7,0,7
interface,2,0,0,5,0,7
outage,0,1,2,0,4,7
land,4,1,1,0,1,7
award,1,4,2,0,0,7
hub,0,2,5,0,0,7
punitive,0,0,3,0,4,7
vasectomy,4,0,0,3,0,7
p_hi,0,0,7,0,0,7
forks,0,0,7,0,0,7
asking,0,0,7,0,0,7
meets,4,0,2,1,0,7
independently,7,0,0,0,0,7
include,0,0,0,7,0,7
supply,4,2,1,0,0,7
fear,0,1,0,0,6,7
non,2,1,0,3,1,7
defaults,7,0,0,0,0,7
provided,0,0,0,7,0,7
options,7,0,0,0,0,7
chats,0,2,5,0,0,7
records,0,7,0,0,0,7
multi,0,0,1,2,4,7
sha,0,0,0,0,7,7
mission,1,4,1,1,0,7
cross,0,2,2,0,3,7
history,1,0,0,4,2,7
warm,4,0,0,0,3,7
volatility,6,0,0,1,0,7
mutually,0,0,7,0,0,7
attend,0,0,0,7,0,7
action,0,3,0,1,3,7
canonical,1,0,1,0,5,7
boundaries,1,1,1,3,1,7
deployment,1,2,4,0,0,7
system,5,1,1,0,0,7
eligibility,7,0,0,0,0,7
citizenship,0,7,0,0,0,7
resume,7,0,0,0,0,7
procure,7,0,0,0,0,7
auto,0,3,1,3,0,7
gated,3,1,2,0,1,7
ability,2,0,4,0,1,7
convert,0,0,2,0,5,7
private,0,0,7,0,0,7
designated,2,0,0,0,5,7
operationally,0,1,0,1,5,7
assistance,0,0,2,2,3,7
predictable,1,1,1,4,0,7
tax,0,1,0,4,2,7
edge,0,0,0,1,6,7
significant,0,0,7,0,0,7
availability,0,2,0,3,2,7
ttl,0,6,0,1,0,7
hopes,0,0,0,0,7,7
measured,0,5,2,0,0,7
devmate,1,0,0,1,5,7
get,1,3,0,0,3,7
environments,0,1,3,0,3,7
request,0,0,0,1,6,7
milestones,0,4,0,0,3,7
editable,1,1,2,2,1,7
wants,0,1,0,0,5,6
missions,0,0,0,0,6,6
three,3,0,2,1,0,6
already,0,0,0,6,0,6
mark,0,0,2,4,0,6
protections,2,0,0,1,3,6
afraid,0,1,0,5,0,6
rent,0,4,2,0,0,6
political,2,1,0,0,3,6
procurement,0,5,0,1,0,6
yet,1,0,2,0,3,6
glossary,0,0,0,1,5,6
moving,2,0,0,0,4,6
love,2,2,0,0,2,6
less,1,2,0,2,1,6
metadata,1,0,2,3,0,6
timestamps,4,0,1,1,0,6
hybrid,1,0,0,4,1,6
claims,0,1,2,3,0,6
yesterday,3,1,2,0,0,6
licensed,0,0,0,6,0,6
everything,2,0,3,1,0,6
handled,0,6,0,0,0,6
trust,0,4,1,0,1,6
prior,0,0,4,2,0,6
p_event_total,0,0,6,0,0,6
points,2,4,0,0,0,6
ticket,0,0,0,0,6,6
financing,0,4,0,2,0,6
software,4,1,1,0,0,6
degradation,0,6,0,0,0,6
enterprise,1,0,0,5,0,6
unqualified,2,0,4,0,0,6
rather,1,0,4,1,0,6
patch,0,0,1,4,1,6
cheating,0,6,0,0,0,6
mean,0,0,0,3,3,6
lived,5,1,0,0,0,6
investor,0,0,6,0,0,6
enforceable,5,1,0,0,0,6
fixes,3,0,0,0,3,6
prepay,4,0,0,0,2,6
certified,0,6,0,0,0,6
scenario,6,0,0,0,0,6
configuration,2,0,4,0,0,6
advice,0,6,0,0,0,6
formal,2,0,0,4,0,6
unbounded,0,0,6,0,0,6
track,3,0,3,0,0,6
last_validated_at,0,0,6,0,0,6
set,2,2,0,2,0,6
few,0,6,0,0,0,6
distribution,0,6,0,0,0,6
drops,6,0,0,0,0,6
ramp,4,0,0,0,2,6
revision,1,0,0,5,0,6
overflight,0,4,0,2,0,6
stabilization,0,6,0,0,0,6
auditable,0,2,2,0,2,6
documentation,5,0,0,1,0,6
large,0,0,3,0,3,6
actually,3,0,2,1,0,6
operate,2,0,4,0,0,6
top,0,1,0,2,3,6
files,2,1,0,3,0,6
aborts,0,0,0,0,6,6
couples,0,1,0,0,5,6
prevent,0,4,0,2,0,6
egress,0,0,0,0,6,6
trigger,4,0,0,2,0,6
delta,6,0,0,0,0,6
rates,0,0,0,2,4,6
stalling,0,0,0,6,0,6
monitoring,0,0,0,1,5,6
impact,0,5,0,1,0,6
hospital,0,3,2,1,0,6
accepted,0,0,6,0,0,6
makes,0,3,2,0,1,6
maintain,0,3,0,0,3,6
throughput,0,6,0,0,0,6
legal,0,6,0,0,0,6
goes,0,0,0,6,0,6
calls,0,2,4,0,0,6
debugging,5,0,0,1,0,6
consistent,0,0,1,0,5,6
created_at,0,2,4,0,0,6
urgency,1,1,3,0,1,6
reviewed,0,0,0,6,0,6
written,0,0,3,1,2,6
avoidance,0,0,6,0,0,6
formats,1,1,0,4,0,6
capabilities,0,0,1,5,0,6
much,0,5,1,0,0,6
isn,3,0,1,1,1,6
agreed,0,0,6,0,0,6
backed,1,0,0,0,5,6
through,3,1,0,2,0,6
reputational,0,5,0,0,0,5
known,1,3,0,1,0,5
volume,5,0,0,0,0,5
commitment,0,0,2,0,3,5
able,2,3,0,0,0,5
out,2,1,0,2,0,5
engineer,0,4,1,0,0,5
norms,1,0,0,0,4,5
board,2,1,0,2,0,5
owners,4,1,0,0,0,5
visits,0,0,1,4,0,5
zone,0,0,1,1,3,5
ready,0,4,0,1,0,5
separation,5,0,0,0,0,5
record,3,0,2,0,0,5
find,0,0,0,5,0,5
tickets,0,0,0,0,5,5
directly,0,0,2,3,0,5
smaller,5,0,0,0,0,5
exception,3,0,0,2,0,5
cited,1,2,2,0,0,5
versioned,0,3,0,2,0,5
quick,1,0,4,0,0,5
didn,1,4,0,0,0,5
specific,0,3,0,1,1,5
burden,4,0,1,0,0,5
ones,0,0,0,0,5,5
panel,0,0,0,5,0,5
damage,1,1,2,0,1,5
fails,0,4,0,0,1,5
detector,0,0,5,0,0,5
details,0,2,0,0,3,5
operational,5,0,0,0,0,5
addresses,0,0,2,3,0,5
converted,0,0,0,0,5,5
reality,1,2,1,0,1,5
signs,0,2,3,0,0,5
platform,0,0,1,1,3,5
new,2,2,0,1,0,5
detection,3,1,1,0,0,5
increase,0,2,3,0,0,5
judgment,0,5,0,0,0,5
map,2,2,0,1,0,5
magnetic,0,4,1,0,0,5
company,1,0,2,0,2,5
slow,3,1,1,0,0,5
waived,0,0,0,0,5,5
respects,4,0,1,0,0,5
core,2,0,1,0,2,5
governance,1,0,2,2,0,5
financial,0,1,0,0,4,5
checkpoints,0,0,5,0,0,5
remedies,0,0,0,0,5,5
old,0,0,5,0,0,5
asset,0,0,0,2,3,5
provide,0,2,2,0,1,5
pricing,0,4,1,0,0,5
proximity,0,0,0,5,0,5
especially,0,1,0,0,4,5
pursue,0,2,1,2,0,5
arr,5,0,0,0,0,5
cities,1,0,0,3,1,5
guarantee,0,3,2,0,0,5
contractually,1,0,0,4,0,5
interoperability,5,0,0,0,0,5
yours,0,0,5,0,0,5
substitutes,0,0,5,0,0,5
fraction,0,0,4,1,0,5
reckless,0,2,0,0,3,5
cliff,0,0,2,0,3,5
independent,0,4,0,1,0,5
readiness,0,0,5,0,0,5
near,0,3,0,0,2,5
de,0,0,5,0,0,5
relocate,1,0,0,0,4,5
trip,0,1,0,0,4,5
question,0,0,1,0,4,5
eliminate,0,0,2,3,0,5
avoidable,0,0,0,4,1,5
reference,0,2,2,0,1,5
level,0,3,1,0,1,5
delivering,0,0,0,5,0,5
quarter,1,0,1,3,0,5
decided,0,0,0,5,0,5
using,0,0,1,0,4,5
split,0,1,0,1,3,5
concrete,0,5,0,0,0,5
equivalents,0,5,0,0,0,5
certainly,0,0,0,0,5,5
autonomy,1,1,1,2,0,5
retrieved,0,0,0,3,2,5
burn,1,0,1,2,1,5
optional,1,0,0,1,3,5
handling,0,2,1,0,2,5
couple,5,0,0,0,0,5
reversible,1,1,1,0,2,5
boxes,0,0,5,0,0,5
scoped,1,2,0,0,2,5
traffic,0,4,1,0,0,5
against,1,2,1,0,1,5
behave,1,0,4,0,0,5
aircraft,0,4,0,0,1,5
separately,0,5,0,0,0,5
layer,2,3,0,0,0,5
c,0,0,1,0,4,5
suggest,0,2,1,2,0,5
managed,0,2,0,0,3,5
caused,0,0,1,3,1,5
cure,5,0,0,0,0,5
demo,5,0,0,0,0,5
definitions,0,0,0,4,1,5
structure,0,0,2,1,2,5
occur,0,0,0,0,5,5
stays,1,0,0,0,4,5
caregiver,0,0,0,0,5,5
style,0,0,4,0,1,5
containment,0,5,0,0,0,5
questions,0,0,3,2,0,5
groups,0,0,0,4,0,4
gets,0,0,0,0,4,4
link,0,2,0,2,0,4
study,0,0,4,0,0,4
box,0,1,0,0,3,4
fit,4,0,0,0,0,4
complex,1,0,1,0,2,4
afford,0,0,4,0,0,4
unsure,0,0,0,4,0,4
expenses,1,1,1,1,0,4
lender,0,0,4,0,0,4
operation,1,0,3,0,0,4
compliance,1,0,0,0,3,4
age,1,3,0,0,0,4
stance,0,0,0,4,0,4
clarity,0,0,2,0,2,4
rolls,0,0,0,0,4,4
entanglements,0,0,0,0,4,4
centered,0,0,4,0,0,4
true,0,0,0,0,4,4
workflows,0,0,0,1,3,4
those,0,2,2,0,0,4
around,0,1,1,0,2,4
aligns,3,0,0,1,0,4
posture,0,0,4,0,0,4
shorter,3,0,0,0,1,4
p50,0,4,0,0,0,4
goal,0,4,0,0,0,4
says,1,2,0,0,1,4
annual,0,0,0,2,2,4
workflow,0,3,0,1,0,4
volumes,0,3,1,0,0,4
wan,0,4,0,0,0,4
timestamp,0,0,0,4,0,4
resignations,0,0,0,0,4,4
learn,0,2,0,2,0,4
projectbrief,0,0,1,3,0,4
proven,0,0,0,4,0,4
primary,2,2,0,0,0,4
approves,0,4,0,0,0,4
logging,0,1,0,2,1,4
emotionally,4,0,0,0,0,4
holdbacks,0,0,0,0,4,4
isolation,1,0,0,1,2,4
gifts,0,0,4,0,0,4
entering,0,0,0,0,4,4
translator,0,0,4,0,0,4
renegotiate,0,0,0,0,4,4
define,0,0,4,0,0,4
value,0,1,0,1,2,4
mandatory,2,0,0,2,0,4
argument,0,2,0,0,2,4
click,0,0,1,0,3,4
exceptions,0,0,0,4,0,4
require,0,0,1,2,1,4
retrofit,1,0,0,0,3,4
round,0,0,1,0,3,4
amended,0,1,0,3,0,4
increases,0,0,0,1,3,4
higher,2,0,0,1,1,4
supervision,0,0,4,0,0,4
stamped,0,3,1,0,0,4
above,0,4,0,0,0,4
immediately,0,1,1,0,2,4
again,2,0,0,0,2,4
hostage,0,0,0,4,0,4
force,0,1,0,0,3,4
affects,0,0,0,4,0,4
defeat,0,4,0,0,0,4
forever,3,0,0,1,0,4
deliverable,0,0,0,0,4,4
tutor,0,0,4,0,0,4
violates,4,0,0,0,0,4
gen,0,0,1,1,2,4
owns,0,0,1,3,0,4
writing,0,0,3,0,1,4
structural,0,3,0,1,0,4
otherwise,0,0,4,0,0,4
operator,0,2,0,1,1,4
comfort,0,0,0,4,0,4
ev,4,0,0,0,0,4
scarcity,0,0,2,2,0,4
housing,0,0,4,0,0,4
ops,1,0,0,3,0,4
id,0,0,2,2,0,4
adds,0,4,0,0,0,4
improvements,0,4,0,0,0,4
runbook,0,0,4,0,0,4
rca,2,0,2,0,0,4
process,1,0,1,1,1,4
loaded,1,0,3,0,0,4
missed,0,0,0,0,4,4
last_confirmed_at,0,4,0,0,0,4
capability,0,1,1,2,0,4
steps,1,0,0,0,3,4
configs,0,0,3,0,1,4
worse,0,0,1,1,2,4
location,0,0,4,0,0,4
keyword,0,0,0,3,1,4
lane,0,0,0,0,4,4
take,0,0,0,0,4,4
periods,4,0,0,0,0,4
beneficiaries,0,4,0,0,0,4
sounding,0,0,0,4,0,4
assistant,0,1,2,1,0,4
integrations,2,0,0,2,0,4
proportional,0,0,4,0,0,4
alone,0,0,4,0,0,4
target,0,4,0,0,0,4
eis,0,0,0,4,0,4
soon,0,0,0,0,4,4
legible,0,0,4,0,0,4
tailor,0,0,0,0,4,4
governed,0,4,0,0,0,4
try,1,0,0,1,2,4
leadership,1,0,3,0,0,4
partly,0,0,4,0,0,4
strategy,0,4,0,0,0,4
fully,0,4,0,0,0,4
delays,0,1,0,3,0,4
breaks,4,0,0,0,0,4
specifically,3,0,0,1,0,4
eliminates,4,0,0,0,0,4
