system,rank,word,count
HYBRID_SEMANTIC,36,controller,10
HYBRID_SEMANTIC,37,approval,10
HYBRID_SEMANTIC,38,cap,10
HYBRID_SEMANTIC,39,fixed,10
HYBRID_SEMANTIC,40,defined,10
HYBRID_SEMANTIC,41,caps,10
HYBRID_SEMANTIC,42,operations,10
HYBRID_SEMANTIC,43,zones,10
HYBRID_SEMANTIC,44,overrides,9
HYBRID_SEMANTIC,45,integration,9
HYBRID_SEMANTIC,46,one,9
HYBRID_SEMANTIC,47,incident,9
HYBRID_SEMANTIC,48,scenarios,9
HYBRID_SEMANTIC,49,modular,9
HYBRID_SEMANTIC,50,runtime,9
