word,control_count,control_share,max_anchor_system,max_anchor_count,max_anchor_share,control_vs_max_anchor_ratio,share_gap,scenarios_control_present,scenario_win_count,scenario_term
ease,28,0.000109,HYBRID_3_5,7,0.000025,4.457944,0.000085,2,2,False
positioning,49,0.000191,HYBRID_SEMANTIC,14,0.000047,4.096730,0.000145,2,2,False
unqualified,42,0.000164,AC15P,14,0.000045,3.682356,0.000120,2,2,False
blend,21,0.000082,AC15,7,0.000023,3.573227,0.000059,2,2,False
involve,21,0.000082,AC15,7,0.000023,3.573227,0.000059,2,2,False
pair,21,0.000082,AC15,7,0.000023,3.573227,0.000059,2,2,False
apology,21,0.000082,HYBRID_SEMANTIC,7,0.000023,3.511483,0.000059,2,2,False
bought,21,0.000082,HYBRID_SEMANTIC,7,0.000023,3.511483,0.000059,2,2,False
preferably,21,0.000082,HYBRID_SEMANTIC,7,0.000023,3.511483,0.000059,2,2,False
matrix,42,0.000164,HYBRID_3_5,14,0.000049,3.343458,0.000115,2,2,False
perceived,42,0.000164,HYBRID_3_5,14,0.000049,3.343458,0.000115,2,2,False
un,21,0.000082,HYBRID_3_5,7,0.000025,3.343458,0.000058,2,2,False
ramp,77,0.000301,HYBRID_3_5,28,0.000098,3.064837,0.000203,2,2,False
investigation,35,0.000137,AC15,14,0.000046,2.977689,0.000091,2,2,False
hot,84,0.000328,AC15,35,0.000115,2.858582,0.000213,2,2,False
haven,35,0.000137,HYBRID_3_5,14,0.000049,2.786215,0.000088,2,2,False
import,35,0.000137,HYBRID_3_5,14,0.000049,2.786215,0.000088,2,2,False
harm,77,0.000301,AC15P,35,0.000111,2.700394,0.000189,2,2,False
play,42,0.000164,AC15P,21,0.000067,2.454904,0.000097,3,2,False
unavoidable,28,0.000109,AC15P,14,0.000045,2.454904,0.000065,2,2,False
governs,14,0.000055,AC15P,7,0.000022,2.454904,0.000032,2,2,False
locating,14,0.000055,AC15P,7,0.000022,2.454904,0.000032,2,2,False
map,182,0.000711,AC15,91,0.000299,2.382151,0.000413,4,2,False
consume,28,0.000109,AC15,14,0.000046,2.382151,0.000063,2,2,False
weakens,28,0.000109,AC15,14,0.000046,2.382151,0.000063,3,2,False
buys,14,0.000055,AC15,7,0.000023,2.382151,0.000032,2,2,False
clarification,14,0.000055,AC15,7,0.000023,2.382151,0.000032,2,2,False
enemy,14,0.000055,AC15,7,0.000023,2.382151,0.000032,2,2,False
irreversibility,14,0.000055,AC15,7,0.000023,2.382151,0.000032,2,2,False
spikes,14,0.000055,AC15,7,0.000023,2.382151,0.000032,2,2,False
tilts,14,0.000055,AC15,7,0.000023,2.382151,0.000032,2,2,False
train,14,0.000055,AC15,7,0.000023,2.382151,0.000032,2,2,False
contacts,56,0.000219,HYBRID_SEMANTIC,28,0.000093,2.340988,0.000125,2,2,False
prudent,42,0.000164,HYBRID_SEMANTIC,21,0.000070,2.340988,0.000094,2,2,False
crucial,28,0.000109,HYBRID_SEMANTIC,14,0.000047,2.340988,0.000063,3,2,False
diagnose,28,0.000109,HYBRID_SEMANTIC,14,0.000047,2.340988,0.000063,3,2,False
distrust,28,0.000109,HYBRID_SEMANTIC,14,0.000047,2.340988,0.000063,2,2,False
five,28,0.000109,HYBRID_SEMANTIC,14,0.000047,2.340988,0.000063,2,2,True
lane,28,0.000109,HYBRID_SEMANTIC,14,0.000047,2.340988,0.000063,3,2,False
alongside,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
erodes,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
hiccups,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
outweighed,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
relates,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
territory,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
tightened,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
topology,14,0.000055,HYBRID_SEMANTIC,7,0.000023,2.340988,0.000031,2,2,False
strongly,84,0.000328,HYBRID_3_5,42,0.000147,2.228972,0.000181,3,2,False
sounds,42,0.000164,HYBRID_3_5,21,0.000074,2.228972,0.000090,2,2,False
couple,28,0.000109,HYBRID_3_5,14,0.000049,2.228972,0.000060,2,2,False
prioritizes,28,0.000109,HYBRID_3_5,14,0.000049,2.228972,0.000060,2,2,False
takeaway,28,0.000109,HYBRID_3_5,14,0.000049,2.228972,0.000060,3,2,False
alerting,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
behaved,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
burning,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
diagrams,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
enabled,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
forms,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
granted,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
operates,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
owe,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
pitch,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
pool,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
rejects,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
suppliers,14,0.000055,HYBRID_3_5,7,0.000025,2.228972,0.000030,2,2,False
fact,63,0.000246,AC15,35,0.000115,2.143936,0.000131,3,2,False
enforced,119,0.000465,HYBRID_3_5,63,0.000221,2.105140,0.000244,2,2,False
modules,105,0.000410,HYBRID_3_5,56,0.000196,2.089661,0.000214,2,2,False
module,182,0.000711,AC15,105,0.000344,2.064531,0.000367,2,2,False
breaks,49,0.000191,HYBRID_SEMANTIC,28,0.000093,2.048365,0.000098,3,2,False
caused,49,0.000191,HYBRID_SEMANTIC,28,0.000093,2.048365,0.000098,3,2,False
ever,49,0.000191,HYBRID_SEMANTIC,28,0.000093,2.048365,0.000098,2,2,False
alternatives,84,0.000328,AC15,49,0.000161,2.041844,0.000167,4,2,False
index,168,0.000656,HYBRID_SEMANTIC,98,0.000327,2.006561,0.000329,2,2,False
generator,35,0.000137,HYBRID_SEMANTIC,21,0.000070,1.950824,0.000067,2,2,False
members,35,0.000137,HYBRID_SEMANTIC,21,0.000070,1.950824,0.000067,4,2,False
bias,154,0.000602,HYBRID_3_5,91,0.000319,1.886053,0.000283,2,2,True
prompts,70,0.000274,HYBRID_3_5,42,0.000147,1.857477,0.000126,2,2,False
existence,35,0.000137,HYBRID_3_5,21,0.000074,1.857477,0.000063,2,2,False
defining,21,0.000082,AC15P,14,0.000045,1.841178,0.000037,2,2,False
sit,21,0.000082,AC15P,14,0.000045,1.841178,0.000037,2,2,False
upfront,154,0.000602,HYBRID_SEMANTIC,98,0.000327,1.839348,0.000275,2,2,True
freedom,21,0.000082,AC15,14,0.000046,1.786614,0.000036,2,2,False
purity,21,0.000082,AC15,14,0.000046,1.786614,0.000036,2,2,False
putting,21,0.000082,AC15,14,0.000046,1.786614,0.000036,2,2,False
renewals,21,0.000082,AC15,14,0.000046,1.786614,0.000036,3,2,False
shop,21,0.000082,AC15,14,0.000046,1.786614,0.000036,2,2,False
stayed,21,0.000082,AC15,14,0.000046,1.786614,0.000036,2,2,False
forever,56,0.000219,HYBRID_3_5,35,0.000123,1.783178,0.000096,2,2,False
associated,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,2,2,False
describe,21,0.000082,HYBRID_SEMANTIC,14,0.000047,1.755741,0.000035,3,2,False
strategic,70,0.000274,AC15P,49,0.000156,1.753503,0.000118,2,2,False
advantage,84,0.000328,HYBRID_3_5,56,0.000196,1.671729,0.000132,3,2,False
described,42,0.000164,HYBRID_3_5,28,0.000098,1.671729,0.000066,3,2,False
premium,42,0.000164,HYBRID_3_5,28,0.000098,1.671729,0.000066,3,2,False
cautious,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,2,2,True
lack,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,3,2,False
narratives,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,2,2,False
sharply,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,3,2,False
suggesting,21,0.000082,HYBRID_3_5,14,0.000049,1.671729,0.000033,2,2,False
facing,49,0.000191,HYBRID_SEMANTIC,35,0.000117,1.638692,0.000075,3,2,False
lowers,28,0.000109,AC15P,21,0.000067,1.636603,0.000043,3,2,False
relevance,28,0.000109,AC15P,21,0.000067,1.636603,0.000043,2,2,False
desire,28,0.000109,AC15,21,0.000069,1.588101,0.000041,2,2,False
minute,56,0.000219,HYBRID_SEMANTIC,42,0.000140,1.560659,0.000079,3,2,False
pushes,56,0.000219,HYBRID_SEMANTIC,42,0.000140,1.560659,0.000079,3,2,False
deployed,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,2,2,False
assets,98,0.000383,HYBRID_3_5,70,0.000245,1.560280,0.000138,2,2,False
behaviors,49,0.000191,HYBRID_3_5,35,0.000123,1.560280,0.000069,3,2,False
symbol,49,0.000191,HYBRID_3_5,35,0.000123,1.560280,0.000069,2,2,False
wins,49,0.000191,HYBRID_3_5,35,0.000123,1.560280,0.000069,2,2,False
knows,35,0.000137,AC15P,28,0.000089,1.534315,0.000048,2,2,False
basic,63,0.000246,HYBRID_SEMANTIC,49,0.000164,1.504921,0.000083,3,2,False
specifics,77,0.000301,AC15P,63,0.000201,1.500219,0.000100,4,2,False
flag,98,0.000383,HYBRID_SEMANTIC,77,0.000257,1.489720,0.000126,4,2,False
maintain,140,0.000547,AC15,112,0.000367,1.488845,0.000180,4,2,False
driver,35,0.000137,AC15,28,0.000092,1.488845,0.000045,3,2,False
extended,84,0.000328,HYBRID_3_5,63,0.000221,1.485981,0.000107,2,2,False
regression,56,0.000219,HYBRID_3_5,42,0.000147,1.485981,0.000072,3,2,False
could,294,0.001149,AC15P,245,0.000780,1.472942,0.000369,3,2,False
write,168,0.000656,AC15P,140,0.000446,1.472942,0.000211,4,2,False
leadership,84,0.000328,AC15P,70,0.000223,1.472942,0.000105,3,2,False
safest,35,0.000137,HYBRID_SEMANTIC,28,0.000093,1.463118,0.000043,2,2,False
shifts,49,0.000191,AC15P,42,0.000134,1.432027,0.000058,2,2,False
meet,231,0.000903,HYBRID_SEMANTIC,189,0.000631,1.430604,0.000272,4,2,False
drop,42,0.000164,AC15,35,0.000115,1.429291,0.000049,2,2,False
miss,42,0.000164,AC15,35,0.000115,1.429291,0.000049,3,2,False
agree,98,0.000383,HYBRID_3_5,77,0.000270,1.418437,0.000113,2,2,False
present,98,0.000383,HYBRID_3_5,77,0.000270,1.418437,0.000113,4,2,False
moved,42,0.000164,HYBRID_SEMANTIC,35,0.000117,1.404593,0.000047,2,2,False
tail,105,0.000410,HYBRID_3_5,84,0.000295,1.393108,0.000116,3,2,False
starting,35,0.000137,HYBRID_3_5,28,0.000098,1.393108,0.000039,3,2,False
available,119,0.000465,AC15P,105,0.000334,1.391112,0.000131,3,2,False
funded,49,0.000191,AC15,42,0.000138,1.389588,0.000054,3,2,False
put,126,0.000492,AC15P,112,0.000357,1.380883,0.000136,4,2,False
docs,210,0.000821,AC15,182,0.000597,1.374318,0.000224,3,2,False
multiple,70,0.000274,AC15P,63,0.000201,1.363835,0.000073,3,2,False
beta,56,0.000219,AC15,49,0.000161,1.361229,0.000058,2,2,True
values,56,0.000219,AC15,49,0.000161,1.361229,0.000058,3,2,False
hazard,119,0.000465,HYBRID_3_5,98,0.000344,1.353304,0.000121,2,2,False
teams,119,0.000465,HYBRID_3_5,98,0.000344,1.353304,0.000121,3,2,False
turns,119,0.000465,AC15,105,0.000344,1.349886,0.000121,4,2,False
rule,182,0.000711,AC15,161,0.000528,1.346433,0.000183,4,2,False
stand,42,0.000164,HYBRID_3_5,35,0.000123,1.337383,0.000041,3,2,False
rca,91,0.000356,AC15P,84,0.000267,1.329740,0.000088,2,2,False
higher,210,0.000821,AC15,189,0.000620,1.323417,0.000201,4,2,False
system,616,0.002407,AC15P,581,0.001850,1.301395,0.000557,4,2,False
broadly,49,0.000191,HYBRID_3_5,42,0.000147,1.300234,0.000044,2,2,False
drift,126,0.000492,AC15P,119,0.000379,1.299655,0.000114,2,2,False
moves,91,0.000356,AC15,84,0.000276,1.290332,0.000080,3,2,False
big,112,0.000438,HYBRID_3_5,98,0.000344,1.273698,0.000094,4,2,False
documentation,210,0.000821,AC15P,203,0.000646,1.269778,0.000174,3,2,True
biggest,119,0.000465,HYBRID_3_5,105,0.000368,1.263084,0.000097,4,2,False
pressure,308,0.001204,HYBRID_3_5,273,0.000957,1.257369,0.000246,4,2,False
conversations,133,0.000520,AC15,126,0.000413,1.257247,0.000106,2,2,False
insurance,168,0.000656,AC15,161,0.000528,1.242862,0.000128,2,2,False
option,511,0.001997,HYBRID_3_5,462,0.001620,1.232689,0.000377,4,2,False
controllers,441,0.001723,HYBRID_3_5,399,0.001399,1.231800,0.000324,2,2,True
every,147,0.000574,AC15P,147,0.000468,1.227452,0.000106,4,2,False
timestamps,91,0.000356,AC15P,91,0.000290,1.227452,0.000066,2,2,False
sometimes,63,0.000246,AC15P,63,0.000201,1.227452,0.000046,4,2,False
agreement,56,0.000219,AC15P,56,0.000178,1.227452,0.000041,2,2,False
override,56,0.000219,AC15P,56,0.000178,1.227452,0.000041,4,2,False
accepting,49,0.000191,AC15P,49,0.000156,1.227452,0.000035,3,2,False
insists,35,0.000137,AC15P,35,0.000111,1.227452,0.000025,3,2,False
trivial,28,0.000109,AC15P,28,0.000089,1.227452,0.000020,3,2,False
answering,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,2,2,False
catch,21,0.000082,AC15P,21,0.000067,1.227452,0.000015,3,2,False
defensive,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,2,2,False
presence,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,2,2,False
saving,14,0.000055,AC15P,14,0.000045,1.227452,0.000010,2,2,False
signals,161,0.000629,HYBRID_3_5,147,0.000515,1.220628,0.000114,4,2,True
dependence,84,0.000328,HYBRID_3_5,77,0.000270,1.215803,0.000058,3,2,False
shows,91,0.000356,HYBRID_3_5,84,0.000295,1.207360,0.000061,4,2,False
options,217,0.000848,HYBRID_3_5,203,0.000712,1.191347,0.000136,4,2,False
final,105,0.000410,AC15,105,0.000344,1.191076,0.000066,4,2,False
try,98,0.000383,AC15,98,0.000322,1.191076,0.000061,3,2,False
crash,77,0.000301,AC15,77,0.000253,1.191076,0.000048,2,2,False
telemetry,77,0.000301,AC15,77,0.000253,1.191076,0.000048,2,2,False
pull,56,0.000219,AC15,56,0.000184,1.191076,0.000035,3,2,False
vague,56,0.000219,AC15,56,0.000184,1.191076,0.000035,4,2,False
playbooks,42,0.000164,AC15,42,0.000138,1.191076,0.000026,3,2,False
bet,35,0.000137,AC15,35,0.000115,1.191076,0.000022,3,2,False
behaves,28,0.000109,AC15,28,0.000092,1.191076,0.000018,3,2,False
implications,28,0.000109,AC15,28,0.000092,1.191076,0.000018,3,2,False
uncomfortable,28,0.000109,AC15,28,0.000092,1.191076,0.000018,2,2,False
acknowledging,21,0.000082,AC15,21,0.000069,1.191076,0.000013,2,2,False
automated,21,0.000082,AC15,21,0.000069,1.191076,0.000013,2,2,False
demos,21,0.000082,AC15,21,0.000069,1.191076,0.000013,2,2,False
wouldn,21,0.000082,AC15,21,0.000069,1.191076,0.000013,2,2,False
unwind,14,0.000055,AC15,14,0.000046,1.191076,0.000009,2,2,False
lead,371,0.001450,HYBRID_3_5,350,0.001227,1.181355,0.000223,3,2,True
truly,126,0.000492,HYBRID_3_5,119,0.000417,1.180044,0.000075,3,2,False
structured,154,0.000602,HYBRID_SEMANTIC,154,0.000514,1.170494,0.000088,4,2,False
once,126,0.000492,HYBRID_SEMANTIC,126,0.000421,1.170494,0.000072,4,2,False
offer,84,0.000328,HYBRID_SEMANTIC,84,0.000280,1.170494,0.000048,4,2,False
willing,84,0.000328,HYBRID_SEMANTIC,84,0.000280,1.170494,0.000048,4,2,False
platform,77,0.000301,HYBRID_SEMANTIC,77,0.000257,1.170494,0.000044,2,2,False
rationale,77,0.000301,HYBRID_SEMANTIC,77,0.000257,1.170494,0.000044,3,2,False
mistake,63,0.000246,HYBRID_SEMANTIC,63,0.000210,1.170494,0.000036,3,2,False
soon,63,0.000246,HYBRID_SEMANTIC,63,0.000210,1.170494,0.000036,3,2,False
continue,56,0.000219,HYBRID_SEMANTIC,56,0.000187,1.170494,0.000032,3,2,False
example,56,0.000219,HYBRID_SEMANTIC,56,0.000187,1.170494,0.000032,4,2,False
locked,56,0.000219,HYBRID_SEMANTIC,56,0.000187,1.170494,0.000032,2,2,False
happen,49,0.000191,HYBRID_SEMANTIC,49,0.000164,1.170494,0.000028,3,2,False
analysis,42,0.000164,HYBRID_SEMANTIC,42,0.000140,1.170494,0.000024,3,2,False
aim,28,0.000109,HYBRID_SEMANTIC,28,0.000093,1.170494,0.000016,2,2,False
death,28,0.000109,HYBRID_SEMANTIC,28,0.000093,1.170494,0.000016,2,2,False
hoping,28,0.000109,HYBRID_SEMANTIC,28,0.000093,1.170494,0.000016,2,2,False
maintaining,28,0.000109,HYBRID_SEMANTIC,28,0.000093,1.170494,0.000016,2,2,False
views,21,0.000082,HYBRID_SEMANTIC,21,0.000070,1.170494,0.000012,3,2,False
hinge,14,0.000055,HYBRID_SEMANTIC,14,0.000047,1.170494,0.000008,2,2,False
plain,14,0.000055,HYBRID_SEMANTIC,14,0.000047,1.170494,0.000008,2,2,False
reaction,14,0.000055,HYBRID_SEMANTIC,14,0.000047,1.170494,0.000008,2,2,False
serious,168,0.000656,HYBRID_3_5,161,0.000565,1.162942,0.000092,4,2,False
ops,203,0.000793,HYBRID_3_5,196,0.000687,1.154289,0.000106,3,2,False
create,203,0.000793,AC15,210,0.000689,1.151373,0.000104,4,2,False
hard,441,0.001723,HYBRID_3_5,427,0.001497,1.151027,0.000226,4,2,False
trust,357,0.001395,AC15,371,0.001217,1.146129,0.000178,4,2,True
continuity,553,0.002161,HYBRID_SEMANTIC,567,0.001893,1.141593,0.000268,4,2,True
isn,357,0.001395,AC15P,385,0.001226,1.138183,0.000169,4,2,False
tell,371,0.001450,HYBRID_3_5,364,0.001276,1.135918,0.000173,4,2,False
financially,84,0.000328,AC15P,91,0.000290,1.133033,0.000039,3,2,False
resilience,84,0.000328,AC15P,91,0.000290,1.133033,0.000039,2,2,False
core,189,0.000739,HYBRID_SEMANTIC,196,0.000654,1.128691,0.000084,4,2,False
safe,518,0.002024,HYBRID_3_5,518,0.001816,1.114486,0.000208,4,2,False
guardrails,112,0.000438,HYBRID_3_5,112,0.000393,1.114486,0.000045,4,2,False
specifically,98,0.000383,HYBRID_3_5,98,0.000344,1.114486,0.000039,3,2,False
uses,70,0.000274,HYBRID_3_5,70,0.000245,1.114486,0.000028,2,2,False
loads,63,0.000246,HYBRID_3_5,63,0.000221,1.114486,0.000025,3,2,False
influence,35,0.000137,HYBRID_3_5,35,0.000123,1.114486,0.000014,3,2,False
insist,35,0.000137,HYBRID_3_5,35,0.000123,1.114486,0.000014,4,2,False
bucket,21,0.000082,HYBRID_3_5,21,0.000074,1.114486,0.000008,2,2,False
failing,21,0.000082,HYBRID_3_5,21,0.000074,1.114486,0.000008,3,2,False
initially,21,0.000082,HYBRID_3_5,21,0.000074,1.114486,0.000008,3,2,False
progress,21,0.000082,HYBRID_3_5,21,0.000074,1.114486,0.000008,2,2,False
relies,21,0.000082,HYBRID_3_5,21,0.000074,1.114486,0.000008,2,2,False
relying,21,0.000082,HYBRID_3_5,21,0.000074,1.114486,0.000008,2,2,False
absolutely,14,0.000055,HYBRID_3_5,14,0.000049,1.114486,0.000006,2,2,False
infer,14,0.000055,HYBRID_3_5,14,0.000049,1.114486,0.000006,2,2,False
right,273,0.001067,HYBRID_SEMANTIC,287,0.000958,1.113397,0.000109,4,2,False
slower,98,0.000383,AC15,105,0.000344,1.111671,0.000038,2,2,False
budgets,133,0.000520,AC15P,147,0.000468,1.110552,0.000052,3,2,False
land,126,0.000492,AC15P,140,0.000446,1.104707,0.000047,3,2,False
by,924,0.003611,HYBRID_SEMANTIC,984,0.003285,1.099123,0.000326,4,2,False
usually,196,0.000766,HYBRID_SEMANTIC,210,0.000701,1.092461,0.000065,4,2,False
recommended,77,0.000301,AC15,84,0.000276,1.091819,0.000025,3,2,False
looks,112,0.000438,AC15P,126,0.000401,1.091068,0.000037,4,2,False
existing,56,0.000219,AC15P,63,0.000201,1.091068,0.000018,3,2,False
meets,91,0.000356,HYBRID_SEMANTIC,98,0.000327,1.086887,0.000028,3,2,False
want,826,0.003228,HYBRID_3_5,847,0.002970,1.086854,0.000258,4,2,False
as,1896,0.007409,AC15,2079,0.006821,1.086234,0.000588,4,2,False
unless,343,0.001340,AC15,378,0.001240,1.080791,0.000100,4,2,False
using,133,0.000520,AC15,147,0.000482,1.077640,0.000037,4,2,False
schedule,553,0.002161,AC15P,630,0.002006,1.077430,0.000155,3,2,False
staged,196,0.000766,HYBRID_3_5,203,0.000712,1.076055,0.000054,2,2,False
checklist,77,0.000301,HYBRID_SEMANTIC,84,0.000280,1.072953,0.000020,3,2,False
read,77,0.000301,HYBRID_SEMANTIC,84,0.000280,1.072953,0.000020,4,2,False
information,70,0.000274,HYBRID_SEMANTIC,77,0.000257,1.064086,0.000016,3,2,False
build,273,0.001067,HYBRID_3_5,287,0.001006,1.060121,0.000060,4,2,False
high,518,0.002024,AC15P,602,0.001916,1.056180,0.000108,4,2,False
while,427,0.001669,AC15P,497,0.001582,1.054571,0.000086,4,2,False
transparent,42,0.000164,AC15P,49,0.000156,1.052102,0.000008,3,2,False
recommendation,350,0.001368,HYBRID_3_5,371,0.001301,1.051402,0.000067,4,2,False
will,532,0.002079,AC15P,623,0.001983,1.048161,0.000096,4,2,False
meaningful,98,0.000383,AC15,112,0.000367,1.042191,0.000016,3,2,False
anchor,49,0.000191,AC15,56,0.000184,1.042191,0.000008,4,2,False
