word,control_count,ac15_count,ac15p_count,h35_count,hsem_count,total_count,control_vs_anchored_ratio
across,45,30,42,33,42,192,1.412889813991234
vasectomy,45,21,33,33,48,180,1.5334639909303103
driven,45,42,24,9,21,141,2.181724204831439
tail,45,36,21,36,27,165,1.7174548286210602
talent,45,24,24,51,54,198,1.3416233245212053
consider,45,45,39,42,33,204,1.3022396870872162
person,45,39,30,54,33,201,1.3179296613010483
updates,45,30,36,51,33,195,1.3730323651771101
give,45,33,33,36,42,189,1.4373502533655533
convention,45,60,9,21,9,144,2.091541854974901
modules,45,9,6,24,18,102,3.576285952539272
intent,45,21,24,24,12,126,2.5561673445690904
tags,45,3,9,3,6,66,9.987551833059067
transparency,45,39,45,33,42,204,1.3079177368357409
final,45,45,38,36,39,203,1.3129628577509753
caregiving,42,27,27,33,33,162,1.607217467890407
assets,42,27,18,30,27,144,1.885908827930355
slower,42,45,36,42,15,180,1.3986551183397322
weight,42,36,36,33,33,180,1.4029340265441843
save,42,15,48,6,12,123,2.4436239069464167
flag,42,30,33,24,33,162,1.6177124636053704
were,42,33,33,36,45,189,1.3142235665156075
try,42,42,27,27,33,171,1.5012441761948896
routines,42,21,39,12,39,153,1.762427355390288
agree,42,12,27,33,27,141,1.9433934223455642
meaningful,42,48,24,27,15,156,1.6978184621641605
swap,42,15,9,3,30,99,3.41889489057912
specifically,42,18,39,42,27,168,1.5295119762482288
didn,42,18,12,36,21,129,2.1916297296609035
gives,42,42,18,42,24,168,1.5223221260291522
present,42,18,27,33,24,144,1.8877172855072475
preserve,39,33,45,30,30,177,1.3074593182349947
cash,39,45,27,33,33,177,1.3001894198778703
never,39,24,30,30,51,174,1.3297986780318882
interoperability,39,9,9,18,3,78,4.545288847451173
prompt,39,33,15,15,21,123,2.143367586551141
led,39,9,6,0,15,69,6.062682161793149
realistically,39,15,9,9,21,93,3.330965584197522
position,39,36,22,42,36,175,1.3115457956155716
rca,39,15,36,12,0,102,2.8968363046746712
shows,39,21,39,36,21,156,1.5337487615417986
resume,39,0,6,0,9,54,12.186759950360285
preserves,39,30,33,36,27,165,1.4227567656481868
patterns,39,30,33,24,42,168,1.3971555002586338
moves,39,36,21,18,24,138,1.8201853777600758
meets,39,21,36,36,42,174,1.328500863674933
files,39,30,27,33,24,153,1.5710117122059544
config,39,51,12,9,21,132,1.9441871947177631
yesterday,39,36,33,24,39,171,1.365963731049592
timestamps,39,18,39,18,18,132,1.9491422089455526
components,39,15,27,30,24,135,1.8644481325719324
resilience,36,24,39,27,33,159,1.3528173273883985
dependence,36,12,18,33,30,129,1.7656821406997518
leadership,36,18,30,12,18,114,2.14790722444643
strongly,36,6,15,18,15,90,3.0542089960164174
silent,36,12,27,18,9,102,2.5224484148250914
advantage,36,21,24,24,18,123,1.9042250268847247
stated,36,24,18,36,33,147,1.4813427631616838
win,36,0,42,21,39,138,1.6356069123345678
reliable,36,27,27,45,15,150,1.4411869071982728
willing,36,6,36,33,36,147,1.4907757539990127
routing,36,12,45,27,24,144,1.5428718593609416
storage,36,27,33,21,24,141,1.5873058592280558
hot,36,15,9,6,6,72,4.633956219752919
extended,36,21,3,27,21,108,2.268148060201757
delivered,36,18,24,36,21,135,1.6619219298913104
alternatives,36,21,12,18,18,105,2.394800755829232
validation,36,24,39,39,6,144,1.5314488610631698
hit,36,36,33,15,24,144,1.5492682133933577
judged,33,18,18,27,18,114,1.8644125080132912
intact,33,3,9,15,6,66,4.548310202188835
benefits,33,36,39,9,24,141,1.427904852435137
crash,33,33,18,21,18,123,1.6884441788339781
parents,33,12,27,9,12,93,2.5661170316639748
notes,33,27,21,21,15,117,1.8101213921949917
telemetry,33,33,27,21,30,144,1.3738722971077817
edit,33,21,27,12,30,123,1.7026412399309283
debug,33,24,9,21,12,99,2.285534878934015
read,33,18,9,6,36,102,2.2122565990573446
ramp,33,3,3,12,9,60,5.528115892630428
situation,33,24,27,27,33,144,1.3685401835431164
harm,33,12,15,6,9,75,3.656846638922852
grounding,33,6,9,69,0,117,1.7393356037892989
scoring,33,21,12,27,12,105,2.0893887047898914
evaluate,33,12,27,9,15,96,2.4425771486120107
rationale,33,18,30,12,33,126,1.6489595812691478
specifics,33,24,27,21,21,126,1.6388009351458932
tends,33,30,33,30,6,132,1.53604899915665
fit,33,27,27,18,39,144,1.3752477634080937
pay,33,12,30,39,33,147,1.3246677439286327
platform,33,21,15,21,33,123,1.683965214209467
anything,33,21,18,39,30,141,1.3926758481363335
mark,33,39,27,24,21,144,1.3724995794281563
fully,30,27,3,39,21,120,1.506807055041747
file,30,18,30,24,33,135,1.3179599314279649
meeting,30,27,12,36,21,126,1.4220991373369016
multiple,30,24,27,18,24,123,1.4925640956882424
uses,30,15,18,30,24,117,1.57527174909856
capabilities,30,15,36,27,21,129,1.3983914413050365
loaded,30,3,30,15,15,93,2.209465591037968
parallel,30,36,24,12,27,129,1.4067099670156358
interface,30,12,24,15,6,87,2.437141199169202
assumption,30,6,9,3,21,69,3.5707290875000006
prompts,30,18,15,18,18,99,1.9982536348320106
warm,30,27,18,15,24,114,1.6499186589901738
prioritize,30,3,6,9,12,60,4.575325094312507
deliverables,30,12,27,21,30,120,1.5374939229479867
signed,30,18,39,18,15,120,1.5497166136564926
expenses,30,27,9,12,27,105,1.8436243614471584
automatic,30,21,9,33,15,108,1.7446960690317468
useful,30,24,33,33,15,135,1.31379672530596
geofencing,30,12,27,24,24,117,1.5873953968599204
regulatory,30,15,30,12,24,111,1.7224125785545334
strategic,30,6,21,12,18,87,2.436757430189708
weighted,30,18,24,21,12,105,1.8435326581508686
immigration,30,9,21,15,6,81,2.717114548643301
anyway,30,21,27,21,36,135,1.3189784903030937
tranche,30,12,6,9,9,66,3.827388837642026
forensics,30,12,0,0,0,42,11.647442038704733
saying,30,9,9,6,24,78,2.8892143101627026
asks,30,24,15,18,33,120,1.5342863719302338
volume,30,24,3,3,6,66,3.863931411239597
revision,30,18,9,39,21,117,1.5603206064114998
interfaces,30,9,42,27,15,123,1.4915385162303523
deal,30,9,21,18,39,117,1.5887100922463135
onboarding,30,21,27,12,18,108,1.7878472418812799
unsafe,30,30,9,18,27,114,1.6401392309465495
loads,27,27,9,27,15,105,1.5782190058283778
realism,27,6,12,12,15,72,2.758582786049557
payments,27,3,15,12,6,63,3.4540517350610207
realities,27,27,15,21,18,108,1.5312787421253446
modularity,27,12,6,12,12,69,2.942418814590769
said,27,27,24,15,21,114,1.437606752578101
confidently,27,15,24,9,33,108,1.5488472465801804
stronger,27,18,21,12,18,96,1.8136488263944648
v1,27,36,6,9,27,105,1.598377464584622
sometimes,27,24,27,9,18,105,1.6132485218652841
soon,27,12,6,18,27,90,1.9560739324194076
romance,27,18,12,18,21,96,1.7953236192681528
demo,27,12,3,3,21,66,3.1988403468301985
negotiables,27,27,15,18,18,105,1.5934031872891772
healthy,27,27,18,18,12,102,1.6596512676512705
permanently,27,9,18,21,21,96,1.794771454146454
culture,27,24,18,18,33,120,1.3381224363606001
cybersecurity,27,18,21,6,3,75,2.6315582936412074
basic,27,15,6,15,21,84,2.167147823039913
fact,27,15,15,9,9,75,2.6072988132212074
concerns,27,24,18,12,42,123,1.3009615286214056
mistake,27,21,21,24,27,120,1.334510451212867
etc,27,15,18,30,6,96,1.7831444370048106
owners,27,12,6,15,18,78,2.4183948965801307
recent,27,33,21,18,9,108,1.5401858293671389
reveals,27,9,9,12,6,63,3.436942320535227
sources,27,18,18,36,21,120,1.322703097744548
stage,27,12,33,24,18,114,1.4325918761060261
function,27,21,33,12,21,114,1.445450005384349
steady,27,9,21,9,21,87,2.090053991673242
shorter,27,18,24,15,24,108,1.5428674528370396
asked,27,6,9,30,21,93,1.8507386033683102
agreement,24,12,24,21,6,87,1.7538191983871845
override,24,15,24,9,15,87,1.7738651451663237
minute,24,15,12,9,18,78,2.05438038241616
lets,24,15,24,21,12,96,1.535588559363509
licensing,24,15,6,6,15,66,2.6386531436004583
seen,24,27,15,12,12,90,1.6819561415371704
buying,24,39,9,9,15,96,1.5425339358585135
existing,24,21,27,15,18,105,1.373986905469885
values,24,21,21,15,15,96,1.541617059393014
remediation,24,3,0,3,30,60,3.062938100664563
anti,24,6,12,45,3,90,1.6273414260071035
deploy,24,18,12,3,42,99,1.4856315282045465
continue,24,21,15,12,24,96,1.5401440199542453
cad,24,3,9,9,3,48,4.588821073877237
receipts,24,0,0,0,12,36,9.224755700325732
stored,24,6,12,21,21,84,1.8249761485038376
hardening,24,27,0,9,6,66,2.6205204117491117
momentum,24,18,18,21,12,93,1.5974247825920282
contacts,24,9,6,9,12,60,3.05937187716879
beta,24,21,15,0,9,69,2.504956034954012
suggestions,24,18,27,12,6,87,1.7732665920401507
regression,24,15,6,18,3,66,2.5963664027108715
lite,24,0,15,0,6,45,5.425990811401549
sensitivity,24,9,24,9,27,93,1.6168545674585022
revised,24,33,6,27,12,102,1.401800139406781
objective,24,9,24,30,18,105,1.3555820176148932
norms,24,9,12,16,33,94,1.5736976256101678
uncited,24,0,6,3,0,33,12.394252343639877
topics,24,15,24,27,18,108,1.311120723340052
influenced,24,12,12,9,9,66,2.6410876877620777
treating,24,6,30,24,18,102,1.4172117366163235
cure,24,27,9,3,0,63,2.872150919480269
document,24,27,30,9,3,93,1.6268232637297402
forever,24,15,15,15,9,78,2.045955309838499
retrofit,24,0,24,0,36,84,1.8748861462092745
delta,24,15,0,18,3,60,3.001964600349878
periods,24,30,3,12,0,69,2.4456164212671716
vague,24,24,21,15,12,96,1.5422615333819067
pushes,24,12,15,12,18,81,1.9432637911086728
forward,24,24,24,3,6,81,1.9776942541064764
apply,24,6,27,9,9,75,2.1974728633012686
hope,24,27,18,18,21,108,1.317251947978078
static,24,6,15,9,21,75,2.17677494646248
attempt,24,36,12,21,6,99,1.4689752216952152
diligence,24,12,12,30,15,93,1.5789244505910942
debt,24,12,6,9,9,60,3.0619110701136205
compete,24,3,0,0,3,30,18.542240907063043
dispatch,24,15,30,12,6,87,1.7758194663786766
pull,24,24,24,9,9,90,1.6948333547704615
example,24,21,21,18,24,108,1.3181889543585052
leads,24,27,21,15,21,108,1.3218222891074305
practically,21,9,30,12,18,90,1.4161683156290443
anchor,21,24,3,15,6,69,1.9973471186718925
positioning,21,6,0,3,6,36,6.409978251888929
schema,21,15,18,9,15,78,1.709978807672576
shifts,21,9,18,9,9,66,2.166697429545656
forget,21,9,18,24,0,72,1.8786582955640065
promote,21,39,0,6,15,81,1.6156366648921716
able,21,15,27,3,24,90,1.4256044966273955
heavily,21,9,18,18,18,84,1.5321962442545798
unconditional,21,3,0,0,0,24,32.612837708373256
symbol,21,6,9,15,6,57,2.6584432101796214
respects,21,12,18,15,12,78,1.698832771834773
socially,21,15,18,9,18,81,1.623969457349035
lost,21,21,12,6,18,78,1.7097172558135556
ever,21,12,12,3,12,60,2.511159021183979
behind,21,6,9,18,21,75,1.7738079095882684
drama,21,12,12,6,3,54,2.9582217082080726
caused,21,6,9,9,12,57,2.683606305991606
teammate,21,3,9,0,6,39,5.500045302299277
tend,21,21,15,9,9,75,1.8035997775845605
dated,21,12,9,21,3,66,2.1187104851686978
descent,21,15,0,9,3,48,3.539888865756263
suspended,21,6,3,0,0,30,10.981552136083698
lived,21,30,18,6,12,87,1.4827824623581687
alternates,21,0,3,0,15,39,5.4171457448736895
identify,21,12,24,30,6,93,1.333604651115954
funded,21,18,12,12,0,63,2.3048584288482594
partnership,21,15,15,15,18,84,1.5348933118241979
framework,21,12,3,3,15,54,2.941295387033762
remove,21,30,18,9,12,90,1.4141393893950827
asset,21,21,12,15,21,90,1.400417206136856
accepting,21,15,21,12,3,72,1.9106404569535287
behaviors,21,15,3,15,9,63,2.2745451286117673
embeddings,21,18,12,21,9,81,1.6000201487849548
dead,21,12,9,24,9,75,1.7647066202604191
leaves,21,6,6,12,24,69,2.0019099110413165
underestimating,21,15,18,12,6,72,1.90613794537006
handled,21,15,3,18,9,66,2.1169197947992475
enterprises,21,12,9,9,12,63,2.304368114108646
happen,21,12,21,15,21,90,1.4058896139673207
wins,21,3,9,15,6,54,2.894379219574714
provided,21,6,12,18,12,69,1.9976926973224867
ignore,21,42,0,6,18,87,1.4693212179611552
survivable,21,12,9,21,21,84,1.520171409458462
bring,21,12,9,18,18,78,1.6831846345365167
exists,21,12,24,12,18,87,1.4764048466775044
verbatim,21,0,3,6,0,30,10.50326576026222
controllable,21,21,12,15,9,78,1.6943906152852004
magnetic,21,30,15,9,15,90,1.4116713768060833
facing,21,0,12,12,15,60,2.47064692985036
org,21,6,0,6,27,60,2.4657824107755757
rely,21,24,9,12,18,84,1.5354125478545049
generally,21,9,3,12,9,54,2.8936299446310545
adjustment,21,9,24,9,18,81,1.628871116580731
integrations,21,6,12,33,6,78,1.6602665615014458
remaining,21,15,15,15,27,93,1.3433118910492359
whole,21,15,24,12,15,87,1.477080419873163
upside,21,12,24,21,0,78,1.6957948517744177
exploration,21,0,3,15,51,90,1.3889847584581982
defect,21,3,42,9,18,93,1.3679625545324412
letting,21,15,21,21,12,90,1.3995591440857609
cover,21,9,6,15,24,75,1.7764454957242146
pinned,21,0,12,3,6,42,4.681071867219027
broadly,21,15,9,18,18,81,1.6005770806454884
ruts,21,9,6,18,18,72,1.873666708956835
breaks,21,6,6,9,12,54,2.9163307498984055
formal,21,3,6,21,3,54,2.8550169036020687
