scenario,level,system,sub_element,group,rows,sum_count
S1,trigrams,AC15P,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S1,trigrams,AC15P,conditions,conditions,1,2
S1,trigrams,AC15P,surfacing.hard_limit_refusal,surfacing,2,4
S1,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,4,13
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,temporal_projection,6,14
S1,trigrams,HYBRID_3_5,surfacing.confrontation,surfacing,3,9
S1,trigrams,HYBRID_3_5,warning,warning,6,13
S1,trigrams,HYBRID_3_5,temporal_projection.decay_and_currency,temporal_projection,1,2
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S1,trigrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,2,4
S1,trigrams,HYBRID_3_5,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,1,2
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,1,2
S1,trigrams,HYBRID_3_5,truth.uncertainty_marking,truth,1,2
S1,trigrams,HYBRID_3_5,truth.verification,truth,15,30
S1,trigrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,4,8
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,2,4
S1,trigrams,HYBRID_3_5,hedging,hedging,1,2
S1,trigrams,HYBRID_3_5,surfacing.hard_limit_refusal,surfacing,2,4
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S1,trigrams,HYBRID_3_5,conditions,conditions,1,2
S1,trigrams,HYBRID_3_5,surfacing.tension_exposure,surfacing,1,2
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,3,6
S1,trigrams,HYBRID_SEMANTIC,truth.verification,truth,13,33
S1,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,2,8
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,7,16
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.past_present_future,temporal_projection,1,3
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,8,18
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,8,18
S1,trigrams,HYBRID_SEMANTIC,warning,warning,5,10
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,7,14
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,2,4
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S1,trigrams,HYBRID_SEMANTIC,surfacing.friction_exposed,surfacing,1,2
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,6,12
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,temporal_projection,3,6
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,1,2
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,1,2
S1,trigrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,truth,2,4
S1,trigrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,1,2
S1,trigrams,HYBRID_SEMANTIC,hedging,hedging,1,2
S3,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,7,18
S3,trigrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,4,13
S3,trigrams,CONTROL,surfacing.hard_limit_refusal,surfacing,5,12
S3,trigrams,CONTROL,surfacing.tension_exposure,surfacing,1,2
S3,trigrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,4,8
S3,trigrams,CONTROL,warning,warning,6,12
S3,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,7,14
S3,trigrams,CONTROL,temporal_projection.time_horizons,temporal_projection,1,2
S3,trigrams,CONTROL,truth.fact_vs_interpretation,truth,1,2
S3,trigrams,CONTROL,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S3,trigrams,CONTROL,surfacing.friction_exposed,surfacing,1,2
S3,trigrams,CONTROL,conditions,conditions,4,8
S3,trigrams,CONTROL,truth.verification,truth,1,2
S3,trigrams,CONTROL,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,1,2
S3,trigrams,CONTROL,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,2,4
S3,trigrams,AC15,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,2,4
S3,trigrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,3,6
S3,trigrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,13,26
S3,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,7,14
S3,trigrams,AC15,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,2,4
S3,trigrams,AC15,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,2,4
S3,trigrams,AC15,truth.verification,truth,4,8
S3,trigrams,AC15,temporal_projection.change_and_rate,temporal_projection,2,4
S3,trigrams,AC15,temporal_projection.time_horizons,temporal_projection,4,8
S3,trigrams,AC15,truth.fact_vs_interpretation,truth,1,2
S3,trigrams,AC15,truth.uncertainty_marking,truth,1,2
S3,trigrams,AC15,hedging,hedging,3,6
S3,trigrams,AC15,surfacing.hard_limit_refusal,surfacing,1,2
S3,trigrams,AC15,surfacing.confrontation,surfacing,1,2
S3,trigrams,AC15,conditions,conditions,1,2
S3,trigrams,AC15,temporal_projection.decay_and_currency,temporal_projection,1,2
S3,trigrams,AC15,autonomy_sovereignty,autonomy_sovereignty,1,2
S3,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,15,32
S3,trigrams,AC15P,temporal_projection.time_horizons,temporal_projection,7,18
S3,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,15,32
S3,trigrams,AC15P,warning,warning,4,10
S3,trigrams,AC15P,temporal_projection.change_and_rate,temporal_projection,7,15
S3,trigrams,AC15P,conditions,conditions,3,7
S3,trigrams,AC15P,hedging,hedging,6,13
S3,trigrams,AC15P,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,5,10
S3,trigrams,AC15P,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,4,8
S3,trigrams,AC15P,truth.verification,truth,4,8
S3,trigrams,AC15P,surfacing.hard_limit_refusal,surfacing,5,10
S3,trigrams,AC15P,smoothing,smoothing,3,6
S3,trigrams,AC15P,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,3,6
S3,trigrams,AC15P,autonomy_sovereignty,autonomy_sovereignty,1,2
S3,trigrams,AC15P,surfacing.confrontation,surfacing,1,2
S3,trigrams,AC15P,surfacing.friction_exposed,surfacing,1,2
S3,trigrams,AC15P,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S3,trigrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,8,34
S3,trigrams,HYBRID_3_5,warning,warning,4,11
S3,trigrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,6,14
S3,trigrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,4,9
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,8,17
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,14,29
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,6,12
S3,trigrams,HYBRID_3_5,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,1,2
S3,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,2,4
S3,trigrams,HYBRID_3_5,surfacing.confrontation,surfacing,1,2
S3,trigrams,HYBRID_3_5,truth.fact_vs_interpretation,truth,1,2
S3,trigrams,HYBRID_3_5,hedging,hedging,2,4
S3,trigrams,HYBRID_3_5,truth.verification,truth,6,12
S3,trigrams,HYBRID_3_5,surfacing.hard_limit_refusal,surfacing,1,2
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S3,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,16,43
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,21,50
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,6,14
S3,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,2,6
S3,trigrams,HYBRID_SEMANTIC,warning,warning,4,9
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,4,10
S3,trigrams,HYBRID_SEMANTIC,hedging,hedging,1,2
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,5,10
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.past_present_future,temporal_projection,1,2
S3,trigrams,HYBRID_SEMANTIC,truth.verification,truth,1,2
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,2,4
S3,trigrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,2,4
S3,trigrams,HYBRID_SEMANTIC,surfacing.friction_exposed,surfacing,1,2
S3,trigrams,HYBRID_SEMANTIC,smoothing,smoothing,1,2
S3,trigrams,HYBRID_SEMANTIC,conditions,conditions,2,4
S3,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,1,2
S5,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,5,20
S5,trigrams,CONTROL,truth.verification,truth,17,38
S5,trigrams,CONTROL,surfacing.friction_exposed,surfacing,4,9
S5,trigrams,CONTROL,surfacing.confrontation,surfacing,1,3
S5,trigrams,CONTROL,surfacing.tension_exposure,surfacing,5,11
S5,trigrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,1,2
S5,trigrams,CONTROL,hedging,hedging,5,10
S5,trigrams,CONTROL,temporal_projection.decay_and_currency,temporal_projection,6,12
S5,trigrams,CONTROL,temporal_projection.time_horizons,temporal_projection,1,2
S5,trigrams,CONTROL,temporal_projection.robustness_and_resilience,temporal_projection,2,4
S5,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,2,4
S5,trigrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,1,2
S5,trigrams,AC15,temporal_projection.decay_and_currency,temporal_projection,11,26
S5,trigrams,AC15,truth.verification,truth,13,28
S5,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,9,19
S5,trigrams,AC15,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,1,2
S5,trigrams,AC15,surfacing.friction_exposed,surfacing,1,2
S5,trigrams,AC15,warning,warning,2,4
S5,trigrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,7,14
S5,trigrams,AC15,autonomy_sovereignty,autonomy_sovereignty,1,2
S5,trigrams,AC15,conditions,conditions,1,2
S5,trigrams,AC15,surfacing.confrontation,surfacing,4,8
S5,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S5,trigrams,AC15,surfacing.tension_exposure,surfacing,1,2
S5,trigrams,AC15,temporal_projection.time_horizons,temporal_projection,2,4
S5,trigrams,AC15,truth.fact_vs_interpretation,truth,1,2
S5,trigrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,11,29
S5,trigrams,AC15P,truth.verification,truth,17,43
S5,trigrams,AC15P,temporal_projection.robustness_and_resilience,temporal_projection,7,22
S5,trigrams,AC15P,surfacing.friction_exposed,surfacing,3,8
S5,trigrams,AC15P,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,5,13
S5,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,3,7
S5,trigrams,AC15P,temporal_projection.time_horizons,temporal_projection,4,8
S5,trigrams,AC15P,hedging,hedging,5,10
S5,trigrams,AC15P,warning,warning,3,6
S5,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S5,trigrams,AC15P,truth.fact_vs_interpretation,truth,1,2
S5,trigrams,AC15P,conditions,conditions,4,8
S5,trigrams,AC15P,surfacing.confrontation,surfacing,2,4
S5,trigrams,HYBRID_3_5,truth.verification,truth,11,26
S5,trigrams,HYBRID_3_5,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,3,7
S5,trigrams,HYBRID_3_5,conditions,conditions,2,4
S5,trigrams,HYBRID_3_5,warning,warning,2,4
S5,trigrams,HYBRID_3_5,hedging,hedging,7,14
S5,trigrams,HYBRID_3_5,temporal_projection.decay_and_currency,temporal_projection,4,8
S5,trigrams,HYBRID_3_5,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,1,2
S5,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,temporal_projection,2,4
S5,trigrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,3,6
S5,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,2,4
S5,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,1,2
S5,trigrams,HYBRID_SEMANTIC,truth.verification,truth,15,32
S5,trigrams,HYBRID_SEMANTIC,temporal_projection.decay_and_currency,temporal_projection,8,18
S5,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,2,4
S5,trigrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,truth,2,4
S5,trigrams,HYBRID_SEMANTIC,warning,warning,3,6
S5,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,1,2
S5,trigrams,HYBRID_SEMANTIC,conditions,conditions,4,8
S5,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,6,12
S5,trigrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S5,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,6,12
S5,trigrams,HYBRID_SEMANTIC,hedging,hedging,1,2
S5,trigrams,HYBRID_SEMANTIC,smoothing,smoothing,3,6
S5,trigrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,1,2
S5,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,3,6
S5,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S7,trigrams,CONTROL,surfacing.confrontation,surfacing,2,5
S7,trigrams,CONTROL,conditions,conditions,2,5
S7,trigrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,4,9
S7,trigrams,CONTROL,warning,warning,2,4
S7,trigrams,CONTROL,temporal_projection.time_horizons,temporal_projection,1,2
S7,trigrams,CONTROL,truth.verification,truth,3,6
S7,trigrams,CONTROL,surfacing.friction_exposed,surfacing,1,2
S7,trigrams,CONTROL,surfacing.tension_exposure,surfacing,1,2
S7,trigrams,CONTROL,hedging,hedging,4,8
S7,trigrams,CONTROL,truth.plain_statement,truth,1,2
S7,trigrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,1,2
S7,trigrams,AC15,temporal_projection.past_present_future,temporal_projection,3,7
S7,trigrams,AC15,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,3,7
S7,trigrams,AC15,smoothing,smoothing,8,19
S7,trigrams,AC15,temporal_projection.decay_and_currency,temporal_projection,3,7
S7,trigrams,AC15,conditions,conditions,2,4
S7,trigrams,AC15,truth.verification,truth,1,2
S7,trigrams,AC15,truth.plain_statement,truth,1,2
S7,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,1,2
S7,trigrams,AC15,hedging,hedging,6,12
S7,trigrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,2,4
S7,trigrams,AC15,warning,warning,3,6
S7,trigrams,AC15,temporal_projection.change_and_rate,temporal_projection,2,4
S7,trigrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S7,trigrams,AC15,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,1,2
S7,trigrams,AC15,autonomy_sovereignty,autonomy_sovereignty,2,4
S7,trigrams,AC15,surfacing.confrontation,surfacing,3,6
S7,trigrams,AC15,temporal_projection.time_horizons,temporal_projection,1,2
S7,trigrams,AC15P,conditions,conditions,2,5
S7,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,4,8
S7,trigrams,AC15P,warning,warning,3,6
S7,trigrams,AC15P,temporal_projection.time_horizons,temporal_projection,5,10
S7,trigrams,AC15P,truth.plain_statement,truth,3,6
S7,trigrams,AC15P,temporal_projection.change_and_rate,temporal_projection,4,8
S7,trigrams,AC15P,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,2,4
S7,trigrams,AC15P,hedging,hedging,10,20
S7,trigrams,AC15P,surfacing.hard_limit_refusal,surfacing,2,4
S7,trigrams,AC15P,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,2,4
S7,trigrams,AC15P,surfacing.confrontation,surfacing,2,4
S7,trigrams,AC15P,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,1,2
S7,trigrams,AC15P,surfacing.friction_exposed,surfacing,1,2
S7,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S7,trigrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,2,4
S7,trigrams,HYBRID_3_5,hedging,hedging,8,20
S7,trigrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,3,7
S7,trigrams,HYBRID_3_5,temporal_projection.past_present_future,temporal_projection,1,2
S7,trigrams,HYBRID_3_5,truth.verification,truth,2,4
S7,trigrams,HYBRID_3_5,warning,warning,7,14
S7,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,1,2
S7,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,2,4
S7,trigrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,3,6
S7,trigrams,HYBRID_3_5,conditions,conditions,2,4
S7,trigrams,HYBRID_3_5,temporal_projection.decay_and_currency,temporal_projection,1,2
S7,trigrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,3,6
S7,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,1,2
S7,trigrams,HYBRID_3_5,surfacing.hard_limit_refusal,surfacing,1,2
S7,trigrams,HYBRID_SEMANTIC,hedging,hedging,4,15
S7,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,5,11
S7,trigrams,HYBRID_SEMANTIC,truth.verification,truth,7,14
S7,trigrams,HYBRID_SEMANTIC,warning,warning,7,14
S7,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,2,4
S7,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,2,4
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,1,2
S7,trigrams,HYBRID_SEMANTIC,temporal_projection.past_present_future,temporal_projection,1,2
S7,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,1,2
S7,trigrams,HYBRID_SEMANTIC,conditions,conditions,6,12
S7,trigrams,HYBRID_SEMANTIC,surfacing.tension_exposure,surfacing,4,8
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,3,6
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,2,4
S7,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,1,2
S1,quadgrams,CONTROL,hedging,hedging,10,29
S1,quadgrams,CONTROL,temporal_projection.time_horizons,temporal_projection,6,14
S1,quadgrams,CONTROL,surfacing.confrontation,surfacing,1,4
S1,quadgrams,CONTROL,temporal_projection.past_present_future,temporal_projection,2,5
S1,quadgrams,CONTROL,conditions,conditions,2,5
S1,quadgrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,4,8
S1,quadgrams,CONTROL,warning,warning,2,4
S1,quadgrams,CONTROL,truth.uncertainty_marking,truth,2,4
S1,quadgrams,CONTROL,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S1,quadgrams,CONTROL,truth.verification,truth,1,2
S1,quadgrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,3,6
S1,quadgrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,3,6
S1,quadgrams,AC15,surfacing.confrontation,surfacing,7,18
S1,quadgrams,AC15,temporal_projection.change_and_rate,temporal_projection,8,19
S1,quadgrams,AC15,truth.verification,truth,4,8
S1,quadgrams,AC15,temporal_projection.time_horizons,temporal_projection,4,8
S1,quadgrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,1,2
S1,quadgrams,AC15,warning,warning,1,2
S1,quadgrams,AC15,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S1,quadgrams,AC15,surfacing.friction_exposed,surfacing,1,2
S1,quadgrams,AC15,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,1,2
S1,quadgrams,AC15,hedging,hedging,1,2
S1,quadgrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,1,2
S1,quadgrams,AC15P,hedging,hedging,4,14
S1,quadgrams,AC15P,temporal_projection.change_and_rate,temporal_projection,4,11
S1,quadgrams,AC15P,temporal_projection.time_horizons,temporal_projection,2,5
S1,quadgrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,3,7
S1,quadgrams,AC15P,surfacing.hard_limit_refusal,surfacing,2,5
S1,quadgrams,AC15P,warning,warning,5,10
S1,quadgrams,AC15P,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S1,quadgrams,AC15P,surfacing.friction_exposed,surfacing,1,2
S1,quadgrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,2,4
S1,quadgrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,3,6
S1,quadgrams,AC15P,temporal_projection.past_present_future,temporal_projection,1,2
S1,quadgrams,AC15P,truth.verification,truth,5,10
S1,quadgrams,AC15P,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,1,2
S1,quadgrams,AC15P,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,1,2
S1,quadgrams,AC15P,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,1,2
S1,quadgrams,HYBRID_3_5,surfacing.confrontation,surfacing,7,19
S1,quadgrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,4,9
S1,quadgrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,4,9
S1,quadgrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,temporal_projection,2,4
S1,quadgrams,HYBRID_3_5,warning,warning,6,12
S1,quadgrams,HYBRID_3_5,truth.uncertainty_marking,truth,1,2
S1,quadgrams,HYBRID_3_5,truth.verification,truth,14,28
S1,quadgrams,HYBRID_3_5,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,1,2
S1,quadgrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,1,2
S1,quadgrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,1,2
S1,quadgrams,HYBRID_3_5,conditions,conditions,1,2
S1,quadgrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,1,2
S1,quadgrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,14,34
S1,quadgrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,1,3
S1,quadgrams,HYBRID_SEMANTIC,warning,warning,4,8
