scenario,level,system,parent_group,layer,rows,sum_count
S3,trigrams,AC15,conditions,B,1,2
S3,trigrams,AC15,autonomy_sovereignty,B,1,2
S3,trigrams,AC15P,truth,A,4,8
S3,trigrams,AC15P,practical_considerations_and_execution,A,36,76
S3,trigrams,AC15P,temporal_projection,A,15,35
S3,trigrams,AC15P,imagination_and_possibility,A,8,16
S3,trigrams,AC15P,surfacing,B,6,12
S3,trigrams,AC15P,smoothing,B,3,6
S3,trigrams,AC15P,hedging,B,6,13
S3,trigrams,AC15P,warning,B,4,10
S3,trigrams,AC15P,conditions,B,3,7
S3,trigrams,AC15P,autonomy_sovereignty,B,1,2
S3,trigrams,HYBRID_3_5,truth,A,7,14
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution,A,31,65
S3,trigrams,HYBRID_3_5,temporal_projection,A,9,20
S3,trigrams,HYBRID_3_5,imagination_and_possibility,A,1,2
S3,trigrams,HYBRID_3_5,surfacing,B,6,13
S3,trigrams,HYBRID_3_5,smoothing,B,0,0
S3,trigrams,HYBRID_3_5,hedging,B,2,4
S3,trigrams,HYBRID_3_5,warning,B,4,11
S3,trigrams,HYBRID_3_5,conditions,B,0,0
S3,trigrams,HYBRID_3_5,autonomy_sovereignty,B,8,34
S3,trigrams,HYBRID_SEMANTIC,truth,A,1,2
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,38,84
S3,trigrams,HYBRID_SEMANTIC,temporal_projection,A,11,26
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,A,16,43
S3,trigrams,HYBRID_SEMANTIC,surfacing,B,5,12
S3,trigrams,HYBRID_SEMANTIC,smoothing,B,1,2
S3,trigrams,HYBRID_SEMANTIC,hedging,B,1,2
S3,trigrams,HYBRID_SEMANTIC,warning,B,4,9
S3,trigrams,HYBRID_SEMANTIC,conditions,B,2,4
S3,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,1,2
S5,trigrams,CONTROL,truth,A,17,38
S5,trigrams,CONTROL,practical_considerations_and_execution,A,10,30
S5,trigrams,CONTROL,temporal_projection,A,10,20
S5,trigrams,CONTROL,imagination_and_possibility,A,0,0
S5,trigrams,CONTROL,surfacing,B,10,23
S5,trigrams,CONTROL,smoothing,B,0,0
S5,trigrams,CONTROL,hedging,B,5,10
S5,trigrams,CONTROL,warning,B,0,0
S5,trigrams,CONTROL,conditions,B,0,0
S5,trigrams,CONTROL,autonomy_sovereignty,B,1,2
S5,trigrams,AC15,truth,A,14,30
S5,trigrams,AC15,practical_considerations_and_execution,A,22,46
S5,trigrams,AC15,temporal_projection,A,13,30
S5,trigrams,AC15,imagination_and_possibility,A,1,2
S5,trigrams,AC15,surfacing,B,6,12
S5,trigrams,AC15,smoothing,B,0,0
S5,trigrams,AC15,hedging,B,0,0
S5,trigrams,AC15,warning,B,2,4
S5,trigrams,AC15,conditions,B,1,2
S5,trigrams,AC15,autonomy_sovereignty,B,1,2
S5,trigrams,AC15P,truth,A,18,45
S5,trigrams,AC15P,practical_considerations_and_execution,A,7,15
S5,trigrams,AC15P,temporal_projection,A,22,59
S5,trigrams,AC15P,imagination_and_possibility,A,5,13
S5,trigrams,AC15P,surfacing,B,5,12
S5,trigrams,AC15P,smoothing,B,0,0
S5,trigrams,AC15P,hedging,B,5,10
S5,trigrams,AC15P,warning,B,3,6
S5,trigrams,AC15P,conditions,B,4,8
S5,trigrams,AC15P,autonomy_sovereignty,B,0,0
S5,trigrams,HYBRID_3_5,truth,A,11,26
S5,trigrams,HYBRID_3_5,practical_considerations_and_execution,A,5,10
S5,trigrams,HYBRID_3_5,temporal_projection,A,9,18
S5,trigrams,HYBRID_3_5,imagination_and_possibility,A,4,9
S5,trigrams,HYBRID_3_5,surfacing,B,0,0
S5,trigrams,HYBRID_3_5,smoothing,B,0,0
S5,trigrams,HYBRID_3_5,hedging,B,7,14
S5,trigrams,HYBRID_3_5,warning,B,2,4
S5,trigrams,HYBRID_3_5,conditions,B,2,4
S5,trigrams,HYBRID_3_5,autonomy_sovereignty,B,0,0
S5,trigrams,HYBRID_SEMANTIC,truth,A,17,36
S5,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,7,14
S5,trigrams,HYBRID_SEMANTIC,temporal_projection,A,9,20
S5,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,A,3,6
S5,trigrams,HYBRID_SEMANTIC,surfacing,B,4,8
S5,trigrams,HYBRID_SEMANTIC,smoothing,B,3,6
S5,trigrams,HYBRID_SEMANTIC,hedging,B,1,2
S5,trigrams,HYBRID_SEMANTIC,warning,B,3,6
S5,trigrams,HYBRID_SEMANTIC,conditions,B,4,8
S5,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,6,12
S7,trigrams,CONTROL,truth,A,4,8
S7,trigrams,CONTROL,practical_considerations_and_execution,A,6,12
S7,trigrams,CONTROL,temporal_projection,A,5,11
S7,trigrams,CONTROL,imagination_and_possibility,A,0,0
S7,trigrams,CONTROL,surfacing,B,4,9
S7,trigrams,CONTROL,smoothing,B,0,0
S7,trigrams,CONTROL,hedging,B,4,8
S7,trigrams,CONTROL,warning,B,2,4
S7,trigrams,CONTROL,conditions,B,2,5
S7,trigrams,CONTROL,autonomy_sovereignty,B,1,2
S7,trigrams,AC15,truth,A,2,4
S7,trigrams,AC15,practical_considerations_and_execution,A,17,35
S7,trigrams,AC15,temporal_projection,A,10,22
S7,trigrams,AC15,imagination_and_possibility,A,4,9
S7,trigrams,AC15,surfacing,B,3,6
S7,trigrams,AC15,smoothing,B,8,19
S7,trigrams,AC15,hedging,B,6,12
S7,trigrams,AC15,warning,B,3,6
S7,trigrams,AC15,conditions,B,2,4
S7,trigrams,AC15,autonomy_sovereignty,B,2,4
S7,trigrams,AC15P,truth,A,3,6
S7,trigrams,AC15P,practical_considerations_and_execution,A,25,55
S7,trigrams,AC15P,temporal_projection,A,11,22
S7,trigrams,AC15P,imagination_and_possibility,A,3,6
S7,trigrams,AC15P,surfacing,B,5,10
S7,trigrams,AC15P,smoothing,B,0,0
S7,trigrams,AC15P,hedging,B,10,20
S7,trigrams,AC15P,warning,B,3,6
S7,trigrams,AC15P,conditions,B,2,5
S7,trigrams,AC15P,autonomy_sovereignty,B,0,0
S7,trigrams,HYBRID_3_5,truth,A,2,4
S7,trigrams,HYBRID_3_5,practical_considerations_and_execution,A,12,25
S7,trigrams,HYBRID_3_5,temporal_projection,A,6,13
S7,trigrams,HYBRID_3_5,imagination_and_possibility,A,0,0
S7,trigrams,HYBRID_3_5,surfacing,B,4,8
S7,trigrams,HYBRID_3_5,smoothing,B,0,0
S7,trigrams,HYBRID_3_5,hedging,B,8,20
S7,trigrams,HYBRID_3_5,warning,B,7,14
S7,trigrams,HYBRID_3_5,conditions,B,2,4
S7,trigrams,HYBRID_3_5,autonomy_sovereignty,B,3,6
S7,trigrams,HYBRID_SEMANTIC,truth,A,7,14
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,15,30
S7,trigrams,HYBRID_SEMANTIC,temporal_projection,A,4,8
S7,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,A,3,6
S7,trigrams,HYBRID_SEMANTIC,surfacing,B,9,19
S7,trigrams,HYBRID_SEMANTIC,smoothing,B,0,0
S7,trigrams,HYBRID_SEMANTIC,hedging,B,4,15
S7,trigrams,HYBRID_SEMANTIC,warning,B,7,14
S7,trigrams,HYBRID_SEMANTIC,conditions,B,6,12
S7,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,0,0
S1,quadgrams,CONTROL,truth,A,3,6
S1,quadgrams,CONTROL,practical_considerations_and_execution,A,13,28
S1,quadgrams,CONTROL,temporal_projection,A,12,27
S1,quadgrams,CONTROL,imagination_and_possibility,A,0,0
S1,quadgrams,CONTROL,surfacing,B,1,4
S1,quadgrams,CONTROL,smoothing,B,0,0
S1,quadgrams,CONTROL,hedging,B,10,29
S1,quadgrams,CONTROL,warning,B,2,4
S1,quadgrams,CONTROL,conditions,B,2,5
S1,quadgrams,CONTROL,autonomy_sovereignty,B,0,0
S1,quadgrams,AC15,truth,A,4,8
S1,quadgrams,AC15,practical_considerations_and_execution,A,15,31
S1,quadgrams,AC15,temporal_projection,A,13,29
S1,quadgrams,AC15,imagination_and_possibility,A,0,0
S1,quadgrams,AC15,surfacing,B,8,20
S1,quadgrams,AC15,smoothing,B,0,0
S1,quadgrams,AC15,hedging,B,1,2
S1,quadgrams,AC15,warning,B,1,2
S1,quadgrams,AC15,conditions,B,0,0
S1,quadgrams,AC15,autonomy_sovereignty,B,0,0
S1,quadgrams,AC15P,truth,A,5,10
S1,quadgrams,AC15P,practical_considerations_and_execution,A,27,58
S1,quadgrams,AC15P,temporal_projection,A,10,24
S1,quadgrams,AC15P,imagination_and_possibility,A,2,4
S1,quadgrams,AC15P,surfacing,B,3,7
S1,quadgrams,AC15P,smoothing,B,0,0
S1,quadgrams,AC15P,hedging,B,4,14
S1,quadgrams,AC15P,warning,B,5,10
S1,quadgrams,AC15P,conditions,B,0,0
S1,quadgrams,AC15P,autonomy_sovereignty,B,0,0
S1,quadgrams,HYBRID_3_5,truth,A,15,30
S1,quadgrams,HYBRID_3_5,practical_considerations_and_execution,A,16,35
S1,quadgrams,HYBRID_3_5,temporal_projection,A,10,22
S1,quadgrams,HYBRID_3_5,imagination_and_possibility,A,0,0
S1,quadgrams,HYBRID_3_5,surfacing,B,8,21
S1,quadgrams,HYBRID_3_5,smoothing,B,0,0
S1,quadgrams,HYBRID_3_5,hedging,B,0,0
S1,quadgrams,HYBRID_3_5,warning,B,6,12
S1,quadgrams,HYBRID_3_5,conditions,B,1,2
S1,quadgrams,HYBRID_3_5,autonomy_sovereignty,B,1,2
S1,quadgrams,HYBRID_SEMANTIC,truth,A,15,30
S1,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,26,54
S1,quadgrams,HYBRID_SEMANTIC,temporal_projection,A,21,48
S1,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,A,8,16
S1,quadgrams,HYBRID_SEMANTIC,surfacing,B,2,5
S1,quadgrams,HYBRID_SEMANTIC,smoothing,B,0,0
S1,quadgrams,HYBRID_SEMANTIC,hedging,B,1,2
S1,quadgrams,HYBRID_SEMANTIC,warning,B,4,8
S1,quadgrams,HYBRID_SEMANTIC,conditions,B,1,2
S1,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,1,2
S3,quadgrams,CONTROL,truth,A,4,8
S3,quadgrams,CONTROL,practical_considerations_and_execution,A,16,33
S3,quadgrams,CONTROL,temporal_projection,A,4,8
S3,quadgrams,CONTROL,imagination_and_possibility,A,1,2
S3,quadgrams,CONTROL,surfacing,B,6,14
S3,quadgrams,CONTROL,smoothing,B,0,0
S3,quadgrams,CONTROL,hedging,B,1,2
S3,quadgrams,CONTROL,warning,B,4,8
S3,quadgrams,CONTROL,conditions,B,4,8
S3,quadgrams,CONTROL,autonomy_sovereignty,B,3,9
S3,quadgrams,AC15,truth,A,4,8
S3,quadgrams,AC15,practical_considerations_and_execution,A,16,32
S3,quadgrams,AC15,temporal_projection,A,7,14
S3,quadgrams,AC15,imagination_and_possibility,A,2,4
S3,quadgrams,AC15,surfacing,B,1,2
S3,quadgrams,AC15,smoothing,B,0,0
S3,quadgrams,AC15,hedging,B,3,6
S3,quadgrams,AC15,warning,B,0,0
S3,quadgrams,AC15,conditions,B,0,0
S3,quadgrams,AC15,autonomy_sovereignty,B,0,0
S3,quadgrams,AC15P,truth,A,4,8
S3,quadgrams,AC15P,practical_considerations_and_execution,A,17,37
S3,quadgrams,AC15P,temporal_projection,A,9,20
S3,quadgrams,AC15P,imagination_and_possibility,A,4,8
S3,quadgrams,AC15P,surfacing,B,5,10
S3,quadgrams,AC15P,smoothing,B,3,6
S3,quadgrams,AC15P,hedging,B,5,10
S3,quadgrams,AC15P,warning,B,0,0
S3,quadgrams,AC15P,conditions,B,4,10
S3,quadgrams,AC15P,autonomy_sovereignty,B,1,2
S3,quadgrams,HYBRID_3_5,truth,A,4,8
S3,quadgrams,HYBRID_3_5,practical_considerations_and_execution,A,22,47
S3,quadgrams,HYBRID_3_5,temporal_projection,A,1,3
S3,quadgrams,HYBRID_3_5,imagination_and_possibility,A,2,4
S3,quadgrams,HYBRID_3_5,surfacing,B,1,2
S3,quadgrams,HYBRID_3_5,smoothing,B,0,0
S3,quadgrams,HYBRID_3_5,hedging,B,2,4
S3,quadgrams,HYBRID_3_5,warning,B,4,11
S3,quadgrams,HYBRID_3_5,conditions,B,0,0
S3,quadgrams,HYBRID_3_5,autonomy_sovereignty,B,8,27
S3,quadgrams,HYBRID_SEMANTIC,truth,A,0,0
S3,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,21,42
S3,quadgrams,HYBRID_SEMANTIC,temporal_projection,A,8,22
S3,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,A,10,22
S3,quadgrams,HYBRID_SEMANTIC,surfacing,B,5,11
S3,quadgrams,HYBRID_SEMANTIC,smoothing,B,0,0
S3,quadgrams,HYBRID_SEMANTIC,hedging,B,1,2
S3,quadgrams,HYBRID_SEMANTIC,warning,B,2,4
S3,quadgrams,HYBRID_SEMANTIC,conditions,B,2,4
S3,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,2,4
S5,quadgrams,CONTROL,truth,A,6,12
S5,quadgrams,CONTROL,practical_considerations_and_execution,A,6,22
S5,quadgrams,CONTROL,temporal_projection,A,3,6
S5,quadgrams,CONTROL,imagination_and_possibility,A,0,0
S5,quadgrams,CONTROL,surfacing,B,3,6
S5,quadgrams,CONTROL,smoothing,B,0,0
S5,quadgrams,CONTROL,hedging,B,4,8
S5,quadgrams,CONTROL,warning,B,0,0
S5,quadgrams,CONTROL,conditions,B,0,0
S5,quadgrams,CONTROL,autonomy_sovereignty,B,1,2
S5,quadgrams,AC15,truth,A,12,25
S5,quadgrams,AC15,practical_considerations_and_execution,A,14,29
S5,quadgrams,AC15,temporal_projection,A,10,26
S5,quadgrams,AC15,imagination_and_possibility,A,0,0
S5,quadgrams,AC15,surfacing,B,7,14
S5,quadgrams,AC15,smoothing,B,0,0
S5,quadgrams,AC15,hedging,B,0,0
S5,quadgrams,AC15,warning,B,1,2
S5,quadgrams,AC15,conditions,B,1,2
S5,quadgrams,AC15,autonomy_sovereignty,B,0,0
S5,quadgrams,AC15P,truth,A,6,15
S5,quadgrams,AC15P,practical_considerations_and_execution,A,7,14
S5,quadgrams,AC15P,temporal_projection,A,15,37
S5,quadgrams,AC15P,imagination_and_possibility,A,5,12
S5,quadgrams,AC15P,surfacing,B,6,12
S5,quadgrams,AC15P,smoothing,B,0,0
S5,quadgrams,AC15P,hedging,B,2,4
S5,quadgrams,AC15P,warning,B,0,0
S5,quadgrams,AC15P,conditions,B,4,8
S5,quadgrams,AC15P,autonomy_sovereignty,B,0,0
S5,quadgrams,HYBRID_3_5,truth,A,9,18
S5,quadgrams,HYBRID_3_5,practical_considerations_and_execution,A,4,12
S5,quadgrams,HYBRID_3_5,temporal_projection,A,11,22
S5,quadgrams,HYBRID_3_5,imagination_and_possibility,A,2,4
S5,quadgrams,HYBRID_3_5,surfacing,B,1,2
S5,quadgrams,HYBRID_3_5,smoothing,B,0,0
S5,quadgrams,HYBRID_3_5,hedging,B,10,21
S5,quadgrams,HYBRID_3_5,warning,B,1,2
S5,quadgrams,HYBRID_3_5,conditions,B,1,2
S5,quadgrams,HYBRID_3_5,autonomy_sovereignty,B,0,0
S5,quadgrams,HYBRID_SEMANTIC,truth,A,14,30
S5,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,10,20
S5,quadgrams,HYBRID_SEMANTIC,temporal_projection,A,6,14
S5,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,A,2,4
S5,quadgrams,HYBRID_SEMANTIC,surfacing,B,6,12
S5,quadgrams,HYBRID_SEMANTIC,smoothing,B,1,2
S5,quadgrams,HYBRID_SEMANTIC,hedging,B,0,0
S5,quadgrams,HYBRID_SEMANTIC,warning,B,3,6
S5,quadgrams,HYBRID_SEMANTIC,conditions,B,3,6
S5,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,2,4
S7,quadgrams,CONTROL,truth,A,0,0
S7,quadgrams,CONTROL,practical_considerations_and_execution,A,6,12
S7,quadgrams,CONTROL,temporal_projection,A,6,12
S7,quadgrams,CONTROL,imagination_and_possibility,A,0,0
S7,quadgrams,CONTROL,surfacing,B,7,15
S7,quadgrams,CONTROL,smoothing,B,0,0
S7,quadgrams,CONTROL,hedging,B,5,10
S7,quadgrams,CONTROL,warning,B,1,2
S7,quadgrams,CONTROL,conditions,B,3,6
S7,quadgrams,CONTROL,autonomy_sovereignty,B,1,2
S7,quadgrams,AC15,truth,A,2,4
S7,quadgrams,AC15,practical_considerations_and_execution,A,14,28
S7,quadgrams,AC15,temporal_projection,A,9,19
S7,quadgrams,AC15,imagination_and_possibility,A,1,2
S7,quadgrams,AC15,surfacing,B,1,2
S7,quadgrams,AC15,smoothing,B,8,17
S7,quadgrams,AC15,hedging,B,5,10
S7,quadgrams,AC15,warning,B,4,8
S7,quadgrams,AC15,conditions,B,2,4
S7,quadgrams,AC15,autonomy_sovereignty,B,1,2
S7,quadgrams,AC15P,truth,A,2,4
S7,quadgrams,AC15P,practical_considerations_and_execution,A,12,27
S7,quadgrams,AC15P,temporal_projection,A,11,23
S7,quadgrams,AC15P,imagination_and_possibility,A,2,4
S7,quadgrams,AC15P,surfacing,B,7,14
S7,quadgrams,AC15P,smoothing,B,0,0
S7,quadgrams,AC15P,hedging,B,9,24
S7,quadgrams,AC15P,warning,B,1,2
S7,quadgrams,AC15P,conditions,B,5,12
S7,quadgrams,AC15P,autonomy_sovereignty,B,0,0
S7,quadgrams,HYBRID_3_5,truth,A,1,2
S7,quadgrams,HYBRID_3_5,practical_considerations_and_execution,A,4,8
S7,quadgrams,HYBRID_3_5,temporal_projection,A,6,12
S7,quadgrams,HYBRID_3_5,imagination_and_possibility,A,0,0
S7,quadgrams,HYBRID_3_5,surfacing,B,3,6
S7,quadgrams,HYBRID_3_5,smoothing,B,0,0
S7,quadgrams,HYBRID_3_5,hedging,B,9,26
S7,quadgrams,HYBRID_3_5,warning,B,7,14
S7,quadgrams,HYBRID_3_5,conditions,B,0,0
S7,quadgrams,HYBRID_3_5,autonomy_sovereignty,B,2,4
S7,quadgrams,HYBRID_SEMANTIC,truth,A,5,10
S7,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,12,24
S7,quadgrams,HYBRID_SEMANTIC,temporal_projection,A,4,8
S7,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,A,5,10
S7,quadgrams,HYBRID_SEMANTIC,surfacing,B,7,14
S7,quadgrams,HYBRID_SEMANTIC,smoothing,B,0,0
S7,quadgrams,HYBRID_SEMANTIC,hedging,B,1,8
S7,quadgrams,HYBRID_SEMANTIC,warning,B,2,4
S7,quadgrams,HYBRID_SEMANTIC,conditions,B,11,23
S7,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,0,0
