scenario,level,system,first_class_group,parent,layer,rows,sum_count,system_total_rows
S1,trigrams,AC15,temporal_projection.decay_and_currency,temporal_projection,A,0,0,238
S1,trigrams,AC15,temporal_projection.time_horizons,temporal_projection,A,8,19,238
S1,trigrams,AC15,temporal_projection.past_present_future,temporal_projection,A,1,2,238
S1,trigrams,AC15,temporal_projection.change_and_rate,temporal_projection,A,10,22,238
S1,trigrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,A,2,4,238
S1,trigrams,AC15,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,0,0,238
S1,trigrams,AC15,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,238
S1,trigrams,AC15,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,238
S1,trigrams,AC15,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,0,0,238
S1,trigrams,AC15,surfacing.friction_exposed,surfacing,B,2,4,238
S1,trigrams,AC15,surfacing.hard_limit_refusal,surfacing,B,0,0,238
S1,trigrams,AC15,surfacing.confrontation,surfacing,B,5,14,238
S1,trigrams,AC15,surfacing.tension_exposure,surfacing,B,0,0,238
S1,trigrams,AC15,smoothing,smoothing,B,0,0,238
S1,trigrams,AC15,hedging,hedging,B,4,8,238
S1,trigrams,AC15,warning,warning,B,2,4,238
S1,trigrams,AC15,conditions,conditions,B,1,2,238
S1,trigrams,AC15,autonomy_sovereignty,autonomy_sovereignty,B,0,0,238
S1,trigrams,AC15P,truth.plain_statement,truth,A,0,0,267
S1,trigrams,AC15P,truth.verification,truth,A,5,10,267
S1,trigrams,AC15P,truth.uncertainty_marking,truth,A,1,2,267
S1,trigrams,AC15P,truth.fact_vs_interpretation,truth,A,0,0,267
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,13,28,267
S1,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,2,5,267
S1,trigrams,AC15P,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,2,4,267
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,22,47,267
S1,trigrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,A,1,2,267
S1,trigrams,AC15P,temporal_projection.time_horizons,temporal_projection,A,4,9,267
S1,trigrams,AC15P,temporal_projection.past_present_future,temporal_projection,A,0,0,267
S1,trigrams,AC15P,temporal_projection.change_and_rate,temporal_projection,A,3,6,267
S1,trigrams,AC15P,temporal_projection.robustness_and_resilience,temporal_projection,A,1,2,267
S1,trigrams,AC15P,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,1,2,267
S1,trigrams,AC15P,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,267
S1,trigrams,AC15P,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,267
S1,trigrams,AC15P,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,0,0,267
S1,trigrams,AC15P,surfacing.friction_exposed,surfacing,B,2,4,267
S1,trigrams,AC15P,surfacing.hard_limit_refusal,surfacing,B,2,4,267
S1,trigrams,AC15P,surfacing.confrontation,surfacing,B,0,0,267
S1,trigrams,AC15P,surfacing.tension_exposure,surfacing,B,0,0,267
S1,trigrams,AC15P,smoothing,smoothing,B,0,0,267
S1,trigrams,AC15P,hedging,hedging,B,2,9,267
S1,trigrams,AC15P,warning,warning,B,8,16,267
S1,trigrams,AC15P,conditions,conditions,B,1,2,267
S1,trigrams,AC15P,autonomy_sovereignty,autonomy_sovereignty,B,0,0,267
S1,trigrams,HYBRID_3_5,truth.plain_statement,truth,A,0,0,272
S1,trigrams,HYBRID_3_5,truth.verification,truth,A,15,30,272
S1,trigrams,HYBRID_3_5,truth.uncertainty_marking,truth,A,1,2,272
S1,trigrams,HYBRID_3_5,truth.fact_vs_interpretation,truth,A,0,0,272
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,7,16,272
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,2,4,272
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,1,2,272
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,14,30,272
S1,trigrams,HYBRID_3_5,temporal_projection.decay_and_currency,temporal_projection,A,1,2,272
S1,trigrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,A,4,8,272
S1,trigrams,HYBRID_3_5,temporal_projection.past_present_future,temporal_projection,A,0,0,272
S1,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,A,4,13,272
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,temporal_projection,A,6,14,272
S1,trigrams,HYBRID_3_5,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,1,2,272
S1,trigrams,HYBRID_3_5,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,272
S1,trigrams,HYBRID_3_5,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,272
S1,trigrams,HYBRID_3_5,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,0,0,272
S1,trigrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,B,2,4,272
S1,trigrams,HYBRID_3_5,surfacing.hard_limit_refusal,surfacing,B,2,4,272
S1,trigrams,HYBRID_3_5,surfacing.confrontation,surfacing,B,3,9,272
S1,trigrams,HYBRID_3_5,surfacing.tension_exposure,surfacing,B,1,2,272
S1,trigrams,HYBRID_3_5,smoothing,smoothing,B,0,0,272
S1,trigrams,HYBRID_3_5,hedging,hedging,B,1,2,272
S1,trigrams,HYBRID_3_5,warning,warning,B,6,13,272
S1,trigrams,HYBRID_3_5,conditions,conditions,B,1,2,272
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,B,3,6,272
S1,trigrams,HYBRID_SEMANTIC,truth.plain_statement,truth,A,0,0,283
S1,trigrams,HYBRID_SEMANTIC,truth.verification,truth,A,13,33,283
S1,trigrams,HYBRID_SEMANTIC,truth.uncertainty_marking,truth,A,0,0,283
S1,trigrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,truth,A,2,4,283
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,11,25,283
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,6,12,283
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,1,2,283
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,14,29,283
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.decay_and_currency,temporal_projection,A,0,0,283
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,A,7,16,283
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.past_present_future,temporal_projection,A,1,3,283
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,A,8,18,283
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,temporal_projection,A,3,6,283
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,2,4,283
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,283
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,283
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,7,14,283
S1,trigrams,HYBRID_SEMANTIC,surfacing.friction_exposed,surfacing,B,1,2,283
S1,trigrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,B,1,2,283
S1,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,B,2,8,283
S1,trigrams,HYBRID_SEMANTIC,surfacing.tension_exposure,surfacing,B,0,0,283
S1,trigrams,HYBRID_SEMANTIC,smoothing,smoothing,B,0,0,283
S1,trigrams,HYBRID_SEMANTIC,hedging,hedging,B,1,2,283
S1,trigrams,HYBRID_SEMANTIC,warning,warning,B,5,10,283
S1,trigrams,HYBRID_SEMANTIC,conditions,conditions,B,0,0,283
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,B,1,2,283
S3,trigrams,CONTROL,truth.plain_statement,truth,A,0,0,179
S3,trigrams,CONTROL,truth.verification,truth,A,1,2,179
S3,trigrams,CONTROL,truth.uncertainty_marking,truth,A,0,0,179
S3,trigrams,CONTROL,truth.fact_vs_interpretation,truth,A,1,2,179
S3,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,8,16,179
S3,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,7,18,179
S3,trigrams,CONTROL,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,1,2,179
S3,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,2,4,179
S3,trigrams,CONTROL,temporal_projection.decay_and_currency,temporal_projection,A,0,0,179
S3,trigrams,CONTROL,temporal_projection.time_horizons,temporal_projection,A,1,2,179
S3,trigrams,CONTROL,temporal_projection.past_present_future,temporal_projection,A,0,0,179
S3,trigrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,A,4,8,179
S3,trigrams,CONTROL,temporal_projection.robustness_and_resilience,temporal_projection,A,0,0,179
S3,trigrams,CONTROL,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,0,0,179
S3,trigrams,CONTROL,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,179
S3,trigrams,CONTROL,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,1,2,179
S3,trigrams,CONTROL,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,0,0,179
S3,trigrams,CONTROL,surfacing.friction_exposed,surfacing,B,1,2,179
S3,trigrams,CONTROL,surfacing.hard_limit_refusal,surfacing,B,5,12,179
S3,trigrams,CONTROL,surfacing.confrontation,surfacing,B,0,0,179
S3,trigrams,CONTROL,surfacing.tension_exposure,surfacing,B,1,2,179
S3,trigrams,CONTROL,smoothing,smoothing,B,0,0,179
S3,trigrams,CONTROL,hedging,hedging,B,0,0,179
S3,trigrams,CONTROL,warning,warning,B,6,12,179
S3,trigrams,CONTROL,conditions,conditions,B,4,8,179
S3,trigrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,B,4,13,179
S3,trigrams,AC15,truth.plain_statement,truth,A,0,0,283
S3,trigrams,AC15,truth.verification,truth,A,4,8,283
S3,trigrams,AC15,truth.uncertainty_marking,truth,A,1,2,283
S3,trigrams,AC15,truth.fact_vs_interpretation,truth,A,1,2,283
S3,trigrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,13,26,283
S3,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,7,14,283
S3,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,0,0,283
S3,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,6,13,283
S3,trigrams,AC15,temporal_projection.decay_and_currency,temporal_projection,A,1,2,283
S3,trigrams,AC15,temporal_projection.time_horizons,temporal_projection,A,4,8,283
S3,trigrams,AC15,temporal_projection.past_present_future,temporal_projection,A,0,0,283
S3,trigrams,AC15,temporal_projection.change_and_rate,temporal_projection,A,2,4,283
S3,trigrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,A,3,6,283
S3,trigrams,AC15,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,2,4,283
S3,trigrams,AC15,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,283
S3,trigrams,AC15,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,283
S3,trigrams,AC15,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,2,4,283
S3,trigrams,AC15,surfacing.friction_exposed,surfacing,B,0,0,283
S3,trigrams,AC15,surfacing.hard_limit_refusal,surfacing,B,1,2,283
S3,trigrams,AC15,surfacing.confrontation,surfacing,B,1,2,283
S3,trigrams,AC15,surfacing.tension_exposure,surfacing,B,0,0,283
S3,trigrams,AC15,smoothing,smoothing,B,0,0,283
S3,trigrams,AC15,hedging,hedging,B,3,6,283
S3,trigrams,AC15,warning,warning,B,0,0,283
S3,trigrams,AC15,conditions,conditions,B,1,2,283
S3,trigrams,AC15,autonomy_sovereignty,autonomy_sovereignty,B,1,2,283
S3,trigrams,AC15P,truth.plain_statement,truth,A,0,0,300
S3,trigrams,AC15P,truth.verification,truth,A,4,8,300
S3,trigrams,AC15P,truth.uncertainty_marking,truth,A,0,0,300
S3,trigrams,AC15P,truth.fact_vs_interpretation,truth,A,0,0,300
S3,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,16,34,300
S3,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,16,34,300
S3,trigrams,AC15P,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,0,0,300
S3,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,7,14,300
S3,trigrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,A,0,0,300
S3,trigrams,AC15P,temporal_projection.time_horizons,temporal_projection,A,7,18,300
S3,trigrams,AC15P,temporal_projection.past_present_future,temporal_projection,A,0,0,300
S3,trigrams,AC15P,temporal_projection.change_and_rate,temporal_projection,A,7,15,300
S3,trigrams,AC15P,temporal_projection.robustness_and_resilience,temporal_projection,A,1,2,300
S3,trigrams,AC15P,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,0,0,300
S3,trigrams,AC15P,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,300
S3,trigrams,AC15P,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,3,6,300
S3,trigrams,AC15P,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,5,10,300
S3,trigrams,AC15P,surfacing.friction_exposed,surfacing,B,1,2,300
S3,trigrams,AC15P,surfacing.hard_limit_refusal,surfacing,B,5,10,300
S3,trigrams,AC15P,surfacing.confrontation,surfacing,B,1,2,300
S3,trigrams,AC15P,surfacing.tension_exposure,surfacing,B,0,0,300
S3,trigrams,AC15P,smoothing,smoothing,B,3,6,300
S3,trigrams,AC15P,hedging,hedging,B,6,13,300
S3,trigrams,AC15P,warning,warning,B,4,10,300
S3,trigrams,AC15P,conditions,conditions,B,3,7,300
S3,trigrams,AC15P,autonomy_sovereignty,autonomy_sovereignty,B,1,2,300
S3,trigrams,HYBRID_3_5,truth.plain_statement,truth,A,0,0,221
S3,trigrams,HYBRID_3_5,truth.verification,truth,A,6,12,221
S3,trigrams,HYBRID_3_5,truth.uncertainty_marking,truth,A,0,0,221
S3,trigrams,HYBRID_3_5,truth.fact_vs_interpretation,truth,A,1,2,221
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,16,34,221
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,8,17,221
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,1,2,221
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,6,12,221
S3,trigrams,HYBRID_3_5,temporal_projection.decay_and_currency,temporal_projection,A,0,0,221
S3,trigrams,HYBRID_3_5,temporal_projection.time_horizons,temporal_projection,A,6,14,221
S3,trigrams,HYBRID_3_5,temporal_projection.past_present_future,temporal_projection,A,0,0,221
S3,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,temporal_projection,A,2,4,221
S3,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,temporal_projection,A,1,2,221
S3,trigrams,HYBRID_3_5,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,0,0,221
S3,trigrams,HYBRID_3_5,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,221
S3,trigrams,HYBRID_3_5,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,221
S3,trigrams,HYBRID_3_5,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,1,2,221
S3,trigrams,HYBRID_3_5,surfacing.friction_exposed,surfacing,B,4,9,221
S3,trigrams,HYBRID_3_5,surfacing.hard_limit_refusal,surfacing,B,1,2,221
S3,trigrams,HYBRID_3_5,surfacing.confrontation,surfacing,B,1,2,221
S3,trigrams,HYBRID_3_5,surfacing.tension_exposure,surfacing,B,0,0,221
S3,trigrams,HYBRID_3_5,smoothing,smoothing,B,0,0,221
S3,trigrams,HYBRID_3_5,hedging,hedging,B,2,4,221
S3,trigrams,HYBRID_3_5,warning,warning,B,4,11,221
S3,trigrams,HYBRID_3_5,conditions,conditions,B,0,0,221
S3,trigrams,HYBRID_3_5,autonomy_sovereignty,autonomy_sovereignty,B,8,34,221
S3,trigrams,HYBRID_SEMANTIC,truth.plain_statement,truth,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,truth.verification,truth,A,1,2,269
S3,trigrams,HYBRID_SEMANTIC,truth.uncertainty_marking,truth,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,truth,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,27,62,269
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,5,10,269
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,2,4,269
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,5,10,269
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.decay_and_currency,temporal_projection,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,temporal_projection,A,4,10,269
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.past_present_future,temporal_projection,A,1,2,269
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,temporal_projection,A,6,14,269
S3,trigrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,temporal_projection,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,269
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,16,43,269
S3,trigrams,HYBRID_SEMANTIC,surfacing.friction_exposed,surfacing,B,1,2,269
S3,trigrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,surfacing,B,2,4,269
S3,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,surfacing,B,2,6,269
S3,trigrams,HYBRID_SEMANTIC,surfacing.tension_exposure,surfacing,B,0,0,269
S3,trigrams,HYBRID_SEMANTIC,smoothing,smoothing,B,1,2,269
S3,trigrams,HYBRID_SEMANTIC,hedging,hedging,B,1,2,269
S3,trigrams,HYBRID_SEMANTIC,warning,warning,B,4,9,269
S3,trigrams,HYBRID_SEMANTIC,conditions,conditions,B,2,4,269
S3,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,autonomy_sovereignty,B,1,2,269
S5,trigrams,CONTROL,truth.plain_statement,truth,A,0,0,163
S5,trigrams,CONTROL,truth.verification,truth,A,17,38,163
S5,trigrams,CONTROL,truth.uncertainty_marking,truth,A,0,0,163
S5,trigrams,CONTROL,truth.fact_vs_interpretation,truth,A,0,0,163
S5,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,2,4,163
S5,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,8,26,163
S5,trigrams,CONTROL,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,0,0,163
S5,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,0,0,163
S5,trigrams,CONTROL,temporal_projection.decay_and_currency,temporal_projection,A,6,12,163
S5,trigrams,CONTROL,temporal_projection.time_horizons,temporal_projection,A,1,2,163
S5,trigrams,CONTROL,temporal_projection.past_present_future,temporal_projection,A,0,0,163
S5,trigrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,A,1,2,163
S5,trigrams,CONTROL,temporal_projection.robustness_and_resilience,temporal_projection,A,2,4,163
S5,trigrams,CONTROL,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,0,0,163
S5,trigrams,CONTROL,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,163
S5,trigrams,CONTROL,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,163
S5,trigrams,CONTROL,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,0,0,163
S5,trigrams,CONTROL,surfacing.friction_exposed,surfacing,B,4,9,163
S5,trigrams,CONTROL,surfacing.hard_limit_refusal,surfacing,B,0,0,163
S5,trigrams,CONTROL,surfacing.confrontation,surfacing,B,1,3,163
S5,trigrams,CONTROL,surfacing.tension_exposure,surfacing,B,5,11,163
S5,trigrams,CONTROL,smoothing,smoothing,B,0,0,163
S5,trigrams,CONTROL,hedging,hedging,B,5,10,163
S5,trigrams,CONTROL,warning,warning,B,0,0,163
S5,trigrams,CONTROL,conditions,conditions,B,0,0,163
S5,trigrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,B,1,2,163
S5,trigrams,AC15,truth.plain_statement,truth,A,0,0,178
S5,trigrams,AC15,truth.verification,truth,A,13,28,178
S5,trigrams,AC15,truth.uncertainty_marking,truth,A,0,0,178
S5,trigrams,AC15,truth.fact_vs_interpretation,truth,A,1,2,178
S5,trigrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,7,14,178
S5,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,13,28,178
S5,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,1,2,178
S5,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,1,2,178
S5,trigrams,AC15,temporal_projection.decay_and_currency,temporal_projection,A,11,26,178
S5,trigrams,AC15,temporal_projection.time_horizons,temporal_projection,A,2,4,178
S5,trigrams,AC15,temporal_projection.past_present_future,temporal_projection,A,0,0,178
S5,trigrams,AC15,temporal_projection.change_and_rate,temporal_projection,A,0,0,178
S5,trigrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,A,0,0,178
S5,trigrams,AC15,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,1,2,178
S5,trigrams,AC15,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,178
S5,trigrams,AC15,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,178
S5,trigrams,AC15,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,0,0,178
S5,trigrams,AC15,surfacing.friction_exposed,surfacing,B,1,2,178
S5,trigrams,AC15,surfacing.hard_limit_refusal,surfacing,B,0,0,178
S5,trigrams,AC15,surfacing.confrontation,surfacing,B,4,8,178
S5,trigrams,AC15,surfacing.tension_exposure,surfacing,B,1,2,178
S5,trigrams,AC15,smoothing,smoothing,B,0,0,178
S5,trigrams,AC15,hedging,hedging,B,0,0,178
S5,trigrams,AC15,warning,warning,B,2,4,178
S5,trigrams,AC15,conditions,conditions,B,1,2,178
S5,trigrams,AC15,autonomy_sovereignty,autonomy_sovereignty,B,1,2,178
S5,trigrams,AC15P,truth.plain_statement,truth,A,0,0,207
S5,trigrams,AC15P,truth.verification,truth,A,17,43,207
S5,trigrams,AC15P,truth.uncertainty_marking,truth,A,0,0,207
S5,trigrams,AC15P,truth.fact_vs_interpretation,truth,A,1,2,207
S5,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,1,2,207
